Idx,V5
1,1212.5
2,594.8
3,3035.0
4,3950.0
5,2500.0
6,3095.0
7,3150.0
8,5020.0
9,8020.0
10,6165.0
11,2977.5
12,3390.0
13,2690.0
14,7102.5
15,3520.0
16,3050.0
17,5680.0
18,5760.0
19,1245.25
20,7612.5
21,1041.8
22,740.0
23,6190.0
24,6085.0
25,5950.0
26,2640.0
27,1933.0
28,6520.0
29,1390.0
30,1304.3
31,3090.0
32,1022.5
33,2110.0
34,860.0
35,10535.0
36,5427.5
37,300.0
38,1882.0
39,1935.0
40,2210.0
41,5430.0
42,2198.0
43,2198.0
44,1179.0
45,4070.0
46,4269.0
47,1820.0
48,1659.0
49,2955.0
50,4485.0
51,1497.0
52,2451.0
53,10862.0
54,1429.0
55,1715.0
56,2620.0
57,2323.0
58,3150.0
59,3277.0
60,1964.1
61,2000.0
62,2080.0
63,2825.0
64,3265.0
65,3655.0
66,1849.0
67,9100.0
68,972.0
69,3090.0
70,2110.0
71,2110.0
72,1794.0
73,6706.0
74,1016.0
75,1758.0
76,1011.0
77,6300.0
78,981.8
79,2013.0
80,1736.0
81,3021.0
82,5408.0
83,3880.0
84,1596.9
85,2710.0
86,1690.0
87,1518.0
88,3767.0
89,1436.2
90,2745.0
91,1011.0
92,1834.9
93,1834.9
94,1150.78125
95,2840.0
96,3830.0
97,1427.5
98,2574.5
99,2574.5
100,3012.0
101,9020.0
102,2370.0
103,2022.0
104,1077.5
105,1043.4375
106,9900.0
107,2735.0
108,883.2
109,1600.0
110,2305.0
111,1611.0
112,8615.0
113,3592.0
114,3551.0
115,3351.0
116,1475.0
117,1940.0
118,8930.0
119,5310.0
120,3225.0
121,2077.0
122,3360.0
123,2081.0
124,1859.0
125,1859.0
126,2218.0
127,3090.0
128,9780.0
129,5265.0
130,5265.0
131,2374.0
132,2037.0
133,2037.0
134,3083.0
135,8645.0
136,1249.5
137,1370.5
138,2730.0
139,1120.0
140,1498.0
141,1707.0
142,2662.0
143,2662.0
144,1642.0
145,6250.0
146,3654.0
147,1229.0
148,1562.5
149,2700.0
150,1816.0
151,1950.0
152,3141.0
153,2680.0
154,2500.0
155,3700.0
156,4190.0
157,4190.0
158,2510.0
159,6140.0
160,4290.0
161,1377.5
162,3587.0
163,3595.0
164,6035.0
165,2140.0
166,2064.0
167,2038.0
168,1937.0
169,7925.0
170,1010.0
171,6105.0
172,2950.0
173,2557.5
174,5750.0
175,4239.0
176,2016.0
177,2175.0
178,3490.0
179,1179.5
180,5980.0
181,6270.0
182,2148.0
183,2694.0
184,1295.0
185,1800.0
186,1385.5
187,2242.0
188,1315.0
189,6450.0
190,1039.0
191,4891.0
192,4891.0
193,1250.0
194,2600.0
195,1473.0
196,3350.0
197,7615.0
198,1325.0
199,1698.0
200,4920.0
201,8210.0
202,1220.0
203,2395.0
204,2395.0
205,1800.0
206,3125.0
207,7770.0
208,2635.0
209,2112.0
210,8650.0
211,9425.0
212,2797.5
213,1605.0
214,1788.0
215,6750.0
216,2940.0
217,1990.0
218,1990.0
219,1885.0
220,107.0
221,2230.0
222,3045.0
223,2463.0
224,6435.0
225,8475.0
226,930.0
227,6740.0
228,2060.0
229,3015.0
230,6285.0
231,3110.0
232,680.0
233,655.0
234,4075.0
235,1951.0
236,1035.5
237,6520.0
238,7145.0
239,6675.0
240,901.0
241,2191.0
242,5800.0
243,1275.1
244,7580.0
245,4015.0
246,3530.0
247,7450.0
248,2380.0
249,940.0
250,1911.3
251,1757.0
252,3182.5
253,3324.0
254,6100.0
255,1900.0
256,1235.0
257,4555.0
258,3160.0
259,6585.0
260,1685.0
261,4720.0
262,2750.0
263,1570.0
264,3510.0
265,4820.0
266,3706.0
267,4620.0
268,70.0
269,3031.0
270,3302.5
271,854.0
272,1492.5
273,797.5
274,7950.0
275,6290.0
276,4065.0
277,2915.0
278,4250.0
279,2640.0
280,1665.5
281,5200.0
282,1812.0
283,1531.0
284,1531.0
285,1564.5
286,3021.0
287,4987.0
288,1520.0
289,1686.0
290,1346.7
291,3156.0
292,2762.0
293,1390.0
294,1432.0
295,1792.0
296,1787.0
297,1027.0
298,963.0
299,1800.0
300,1832.0
301,2012.0
302,1365.0
303,1785.0
304,1864.0
305,1738.0
306,5100.0
307,1592.0
308,1513.0
309,2162.0
310,2309.0
311,2317.0
312,2380.0
313,2298.0
314,2362.0
315,2045.0
316,2364.0
317,2240.0
318,7160.0
