Idx,V7
1,1015.6
2,2795.0
3,1077.3
4,1022.0
5,3014.23
6,158.4479
7,373.3
8,1018.65
9,1017.25
10,2017.6
11,1080.9
12,1840.3
13,2768.0
14,1995.4
15,2601.0
16,16417.6
17,3218.9
18,11398.3
19,453.2
20,11001.8
21,427.6
22,1308.78
23,1183.18
24,1245.71
25,1043.89
26,1156.48
27,1126.17
28,1002.91
29,2078.6
30,1002.91
31,9567.9
32,9567.9
33,6800.30610042
34,750.0
35,4176.0
36,6068.25
37,2843.0
38,3067.0
39,3057.0
40,3305.0
41,10716.1
42,10848.1
43,990.9
44,8513.0
45,997.1
46,9971.0
47,997.1
48,98.8125
49,99.705
50,99.6625
51,985.7
52,3710.3
53,985.7
54,2299.8
55,4415.0
56,119.1
57,1481.9
58,1676.5
59,4345.0
60,876.6
61,6110.0
62,4940.0
63,4315.0
64,1350.5
65,5680.0
66,1760.0
67,4106.0
68,4525.0
69,250.0
70,1441.0
71,2299.8
72,1698.0
73,985.7
74,1764.8
75,1764.8
76,1605.2
77,1605.2
78,3945.5
79,9407.0
80,2299.8
81,1415.2
82,1007.3
83,3189.6
84,1764.8
85,10497.2
86,1661.0
87,2043.0
88,2080.0
89,1994.0
90,2006.0
91,1992.0
92,2017.0
93,2104.0
94,2033.0
95,2021.0
96,1985.0
97,2021.0
98,1357.8
99,8191.0
100,1629.58
101,5817.9
102,880.86
103,5281.4
104,4802.5
105,5471.5
106,1231.11
107,1326.11
108,1022.34
109,1021.19
110,1022.72
111,6345.5
112,4203.5
113,4657.9
114,2861.5
115,2633.0
116,3679.7
117,1405.0
118,18088.6
119,17971.9
120,3881.5
121,5532.9
122,4241.0
123,7502.8
124,1060.21
125,1379.04
126,938.31
127,6410.8
