Idx,price
0,348.301
1,348.143
2,354.103
3,340.391
4,342.312
5,338.824
6,339.918
7,350.222
8,337.278
9,324.265
10,321.261
11,324.492
12,328.737
13,318.089
14,316.385
15,316.316
16,308.484
17,311.449
18,317.695
19,311.302
20,306.701
21,313.577
22,314.188
23,309.469
24,300.466
25,297.117
26,304.8
27,304.899
28,306.928
29,303.086
30,311.508
31,320.059
32,314.73
33,319.113
34,319.655
35,322.581
36,315.715
37,320.433
38,322.817
39,325.802
40,335.603
41,333.407
42,332.195
43,335.554
44,339.327
45,337.702
46,335.18
47,336.667
48,333.86
49,322.384
50,321.852
51,321.684
52,315.637
53,309.838
54,316.724
55,319.787
56,318.443
57,307.071
58,313.019
59,299.464
60,299.464
61,310.075
62,296.756
63,300.946
64,301.163
65,311.082
66,295.116
67,292.192
68,284.041
69,284.14
70,277.57
71,277.836
72,283.33
73,282.737
74,287.578
75,270.871
76,270.327
77,273.331
78,279.99
79,275.959
80,276.285
81,288.052
82,300.501
83,294.879
84,295.067
85,302.941
86,301.291
87,301.074
88,302.852
89,299.009
90,291.886
91,282.579
92,273.183
93,271.819
94,277.816
95,267.65
96,272.076
97,279.338
98,282.964
99,282.401
100,295.778
101,289.109
102,280.395
103,276.453
104,274.319
105,277.283
106,271.869
107,272.63
108,276.048
109,275.722
110,271.572
111,270.387
112,269.861
113,266.391
114,269.217
115,266.371
116,277.664
117,279.271
118,285.567
119,285.567
120,286.836
121,282.761
122,295.006
123,301.104
124,303.662
125,302.155
126,299.914
127,305.556
128,307.975
129,306.726
130,307.698
131,307.162
132,313.795
133,311.753
134,317.722
135,317.613
136,318.059
137,315.749
138,316.75
139,312.615
140,307.37
141,304.098
142,303.662
143,307.142
144,295.601
145,292.636
146,290.019
147,286.013
148,286.34
149,281.66
150,281.055
151,284.327
152,285.517
153,288.085
154,292.755
155,279.132
156,276.167
157,271.537
158,270.367
159,272.647
160,267.948
161,263.168
162,260.095
163,257.775
164,255.355
165,254.166
166,259.708
167,256.079
168,255.117
169,262.643
170,271.983
171,272.013
172,267.184
173,257.507
174,255.663
175,250.834
176,249.051
177,256.411
178,251.69
179,261.152
180,262.974
181,262.984
182,260.714
183,268.472
184,274.188
185,279.467
186,278.73
187,277.704
188,286.608
189,282.744
190,280.323
191,271.34
192,255.834
193,260.096
194,267.974
195,267.934
196,265.355
197,285.851
198,288.908
199,287.733
200,291.458
201,290.322
202,285.97
203,285.333
204,285.851
205,291.697
206,293.33
207,295.192
208,289.416
209,286.807
210,299.704
211,301.596
212,298.907
213,291.547
214,284.247
215,285.522
216,290.96
217,287.235
218,291.149
219,294.147
220,290.263
221,279.975
222,263.403
223,254.36
224,260.833
225,267.824
226,263.681
227,265.006
228,264.229
229,262.048
230,267.287
231,265.753
232,269.159
233,268.243
234,261.909
235,268.113
236,272.635
237,273.81
238,281.08
239,283.84
240,282.14
241,284.88
242,277.9
243,272.89
244,280.47
245,279.34
246,274.87
247,273.16
248,274.26
249,277.27
250,274.32
251,279.05
252,283.6
253,294.1
254,289.22
255,284.48
256,287.82
257,284.71
258,285.16
259,283.96
260,288.35
261,284.77
262,287.65
263,281.22
264,277.05
