Idx,price
0,86.601
1,84.637
2,86.102
3,86.4
4,85.422
5,86.036
6,86.409
7,86.37
8,84.447
9,84.699
10,83.278
11,82.563
12,82.534
13,82.611
14,82.824
15,83.095
16,81.79
17,83.645
18,86.448
19,87.598
20,87.172
21,88.168
22,90.816
23,93.086
24,93.985
25,92.043
26,91.811
27,92.758
28,92.323
29,91.55
30,92.874
31,91.869
32,91.743
33,90.902
34,91.502
35,92.043
36,92.777
37,93.193
38,93.579
39,94.323
40,95.367
41,96.072
42,96.411
43,98.092
44,97.261
45,97.899
46,100.972
47,99.889
48,99.522
49,97.986
50,98.865
51,98.807
52,98.604
53,98.237
54,98.981
55,99.368
56,98.682
57,96.874
58,97.116
59,95.898
60,96.179
61,98.981
62,95.773
63,94.826
64,95.261
65,97.329
66,96.304
67,96.295
68,97.093
69,96.499
70,97.181
71,95.964
72,97.093
73,96.801
74,97.785
75,97.278
76,96.46
77,97.103
78,97.658
79,99.557
80,99.811
81,99.908
82,100.872
83,99.372
84,99.382
85,99.587
86,99.294
87,99.402
88,99.762
89,97.911
90,95.7
91,95.7
92,90.587
93,88.084
94,88.289
95,86.867
96,86.107
97,87.607
98,87.958
99,90.003
100,91.162
101,92.506
102,92.603
103,92.886
104,93.441
105,95.399
106,91.142
107,92.331
108,92.058
109,91.883
110,92.535
111,91.912
112,91.454
113,91.814
114,92.74
115,90.938
116,91.152
117,90.295
118,90.373
119,91.892
120,93.305
121,93.908
122,93.782
123,95.077
124,95.993
125,96.519
126,95.895
127,96.996
128,97.346
129,96.869
130,97.473
131,98.72
132,99.476
133,99.338
134,101.871
135,102.636
136,102.538
137,102.411
138,102.45
139,103.009
140,101.508
141,100.81
142,100.771
143,101.478
144,99.947
145,101.036
146,99.476
147,98.356
148,100.496
149,99.23
150,99.692
151,102.813
152,102.067
153,102.784
154,103.245
155,100.32
156,101.419
157,98.347
158,98.514
159,99.25
160,97.925
161,96.756
162,97.061
163,95.942
164,93.871
165,91.152
166,91.839
167,87.431
168,84.86
169,86.607
170,88.992
171,86.086
172,82.955
173,81.463
174,82.896
175,83.309
176,80.236
177,83.22
178,81.983
179,83.485
180,84.987
181,84.32
182,82.386
183,84.055
184,84.418
185,85.812
186,85.841
187,85.576
188,87.755
189,86.302
190,86.901
191,86.587
192,87.048
193,87.922
194,86.381
195,87.608
196,87.014
197,90.957
198,89.154
199,87.846
200,88.401
201,88.916
202,88.252
203,90.442
204,92.295
205,92.849
206,94.256
207,94.593
208,94.346
209,93.781
210,95.911
211,95.594
212,94.246
213,93.652
214,95.485
215,95.782
216,96.823
217,95.693
218,97.645
219,97.714
220,97.586
221,94.692
222,93.702
223,93.137
224,92.81
225,94.464
226,93.602
227,94.811
228,95.406
229,94.484
230,95.128
231,94.078
232,93.999
233,94.643
234,92.919
235,95.644
236,97.05
237,96.387
238,96.733
239,95.525
240,93.969
241,93.989
242,91.601
243,90.788
244,91.324
245,91.809
246,91.849
247,91.502
248,92.136
249,92.215
250,92.017
251,93.097
252,93.781
253,93.682
254,91.264
255,91.65
256,91.432
257,89.55
258,88.48
259,90.55
260,91.09
261,90.48
262,90.92
263,90.7
264,92.41
