Idx,price
0,136.91
1,137.337
2,139.467
3,135.256
4,134.324
5,134.879
6,137.475
7,142.875
8,138.486
9,131.273
10,130.649
11,138.555
12,139.665
13,135.216
14,132.125
15,129.296
16,126.914
17,132.433
18,134.716
19,133.207
20,128.651
21,132.194
22,129.673
23,124.809
24,118.338
25,123.231
26,127.668
27,124.045
28,122.725
29,119.241
30,123.489
31,129.514
32,131.013
33,134.14
34,133.207
35,134.477
36,130.447
37,137.564
38,136.046
39,136.641
40,140.393
41,134.795
42,130.825
43,126.467
44,128.482
45,120.809
46,118.447
47,121.494
48,119.072
49,115.38
50,113.712
51,115.995
52,112.521
53,114.02
54,116.194
55,117.018
56,114.834
57,111.965
58,113.623
59,108.114
60,108.005
61,113.782
62,109.533
63,112.134
64,112.958
65,117.931
66,112.63
67,111.667
68,104.967
69,106.387
70,103.151
71,105.97
72,111.032
73,109.662
74,115.975
75,110.516
76,109.92
77,105.672
78,109.116
79,105.801
80,107.99
81,114.498
82,118.886
83,116.707
84,113.891
85,116.746
86,114.388
87,114.428
88,115.095
89,111.901
90,106.707
91,101.373
92,95.841
93,96.14
94,96.936
95,89.144
96,89.383
97,94.697
98,93.473
99,92.816
100,96.876
101,97.124
102,94.547
103,91.483
104,90.528
105,85.841
106,85.572
107,86.13
108,90.299
109,90.736
110,88.179
111,88.289
112,88.637
113,91.214
114,94.0
115,92.677
116,97.741
117,101.722
118,103.324
119,101.164
120,100.498
121,98.418
122,102.945
123,104.637
124,105.453
125,105.871
126,104.468
127,108.468
128,110.508
129,109.075
130,107.294
131,99.164
132,104.528
133,105.005
134,109.831
135,109.234
136,107.95
137,105.473
138,107.732
139,104.11
140,100.309
141,101.423
142,101.228
143,104.745
144,98.56
145,96.306
146,94.29
147,93.842
148,91.587
149,91.018
150,90.071
151,91.717
152,93.562
153,96.276
154,96.066
155,90.17
156,90.42
157,88.704
158,88.654
159,89.502
160,87.906
161,86.878
162,84.833
163,84.085
164,82.738
165,83.946
166,85.791
167,84.215
168,81.731
169,86.04
170,89.193
171,89.003
172,87.906
173,82.399
174,78.998
175,76.115
176,75.825
177,79.227
178,74.638
179,74.229
180,75.047
181,77.072
182,78.469
183,82.22
184,84.734
185,87.317
186,87.926
187,86.33
188,89.502
189,88.076
190,89.572
191,87.547
192,86.09
193,91.477
194,94.809
195,97.223
196,94.151
197,104.536
198,110.262
199,107.349
200,110.192
201,103.967
202,104.196
203,104.446
204,104.885
205,106.78
206,107.67
207,105.82
208,103.47
209,103.25
210,109.6
211,107.01
212,106.71
213,106.43
214,104.71
215,106.11
216,108.61
217,107.34
218,109.37
219,111.87
220,109.64
221,104.56
222,104.73
223,103.99
224,103.5
225,105.9
226,97.6
227,97.22
228,95.34
229,94.225
230,97.14
231,97.38
232,96.73
233,99.31
234,97.92
235,104.27
236,106.49
237,108.04
238,110.06
239,110.2
240,109.97
241,109.41
242,109.7
243,106.16
244,109.65
245,114.155
246,112.99
247,113.95
248,115.58
249,112.5
250,108.2
251,111.49
252,119.01
253,124.26
254,119.98
255,117.69
256,120.52
257,115.95
258,116.08
259,114.77
260,116.53
261,118.44
262,119.46
263,115.39
264,115.44
