Idx,price
0,149.574
1,151.194
2,150.612
3,138.846
4,157.64
5,157.936
6,161.414
7,161.19
8,159.004
9,153.294
10,155.167
11,156.51
12,158.1
13,154.652
14,152.602
15,150.198
16,144.827
17,151.358
18,153.788
19,153.563
20,151.142
21,152.052
22,147.898
23,145.641
24,137.453
25,136.014
26,139.279
27,146.818
28,145.524
29,141.853
30,147.366
31,153.104
32,157.239
33,161.25
34,161.492
35,164.889
36,163.408
37,163.65
38,164.774
39,168.99
40,169.315
41,166.301
42,162.998
43,163.56
44,168.346
45,164.055
46,158.756
47,157.784
48,154.46
49,151.122
50,150.788
51,155.541
52,151.706
53,152.785
54,158.116
55,153.998
56,148.296
57,144.35
58,146.074
59,139.391
60,138.167
61,144.596
62,124.282
63,124.5
64,124.254
65,125.928
66,116.407
67,114.772
68,108.789
69,108.859
70,105.372
71,106.93
72,113.055
73,110.81
74,115.368
75,107.112
76,107.319
77,107.591
78,107.557
79,104.1
80,106.775
81,111.078
82,115.146
83,120.21
84,121.684
85,125.511
86,122.35
87,124.79
88,123.0
89,121.18
90,116.15
91,109.65
92,103.67
93,102.31
94,107.67
95,103.66
96,106.22
97,108.68
98,108.95
99,112.44
100,116.46
101,113.22
102,107.4
103,108.92
104,106.21
105,109.56
106,113.5
107,114.33
108,116.33
109,115.54
110,111.75
111,109.22
112,110.4
113,110.63
114,113.55
115,113.76
116,118.21
117,122.77
118,124.63
119,122.42
120,121.14
121,114.81
122,120.97
123,122.28
124,134.95
125,135.39
126,134.16
127,139.52
128,142.57
129,140.8
130,139.41
131,137.83
132,142.69
133,140.64
134,143.55
135,143.18
136,144.78
137,142.1
138,142.3
139,138.23
140,133.22
141,133.62
142,133.8
143,137.28
144,130.75
145,129.79
146,128.73
147,126.77
148,127.82
149,127.51
150,126.11
151,129.48
152,129.82
153,133.27
154,136.45
155,126.82
156,128.55
157,126.28
158,123.53
159,124.66
160,122.19
161,118.54
162,117.31
163,113.78
164,115.15
165,114.41
166,118.01
167,114.8
168,113.0
169,115.88
170,121.09
171,120.95
172,120.3
173,114.56
174,113.67
175,112.21
176,112.9
177,112.53
178,106.9
179,113.79
180,116.36
181,115.07
182,115.25
183,119.32
184,119.82
185,120.6
186,115.66
187,110.96
188,103.41
189,102.44
190,96.79
191,92.12
192,89.3
193,90.98
194,90.53
195,89.98
196,86.14
197,96.63
198,100.79
199,98.49
200,98.94
201,97.12
202,94.85
203,94.14
204,92.46
205,93.2
206,94.13
207,93.41
208,93.95
209,92.42
210,96.54
211,95.5
212,94.13
213,91.01
214,88.25
215,88.46
216,90.35
217,89.09
218,90.55
219,92.49
220,91.58
221,88.45
222,87.86
223,84.92
224,85.19
225,86.77
226,83.79
227,85.25
228,83.04
229,81.82
230,84.18
231,84.0
232,85.82
233,85.14
234,83.12
235,86.08
236,87.36
237,89.87
238,95.09
239,95.27
240,98.12
241,96.05
242,95.46
243,93.68
244,97.25
245,97.52
246,96.32
247,97.18
248,99.22
249,102.24
250,100.55
251,103.13
252,105.15
253,112.91
254,103.39
255,102.18
256,102.11
257,100.05
258,98.24
259,97.61
260,99.54
261,99.7
262,101.16
263,98.15
264,97.2
