Idx,price
0,66.695
1,66.754
2,67.635
3,67.298
4,66.418
5,66.448
6,66.725
7,67.219
8,66.547
9,66.458
10,65.646
11,65.726
12,65.874
13,65.261
14,65.795
15,65.182
16,64.47
17,63.876
18,65.736
19,64.519
20,63.738
21,64.113
22,68.653
23,69.227
24,67.202
25,63.523
26,63.711
27,63.037
28,62.035
29,61.847
30,63.037
31,63.602
32,63.979
33,64.227
34,64.406
35,65.576
36,64.574
37,65.883
38,66.102
39,66.29
40,66.974
41,66.756
42,66.468
43,67.292
44,66.835
45,67.093
46,67.797
47,67.778
48,67.748
49,67.877
50,67.678
51,68.353
52,67.936
53,66.905
54,67.47
55,68.759
56,68.254
57,66.439
58,66.379
59,65.963
60,66.736
61,68.135
62,66.885
63,64.782
64,65.616
65,66.696
66,64.653
67,64.088
68,64.306
69,64.604
70,64.356
71,64.663
72,66.25
73,66.439
74,66.736
75,61.956
76,61.41
77,62.392
78,62.829
79,63.513
80,63.81
81,64.663
82,66.012
83,65.576
84,64.971
85,65.625
86,65.625
87,65.854
88,65.623
89,68.209
90,67.911
91,68.08
92,65.753
93,64.808
94,66.727
95,65.683
96,66.21
97,68.319
98,68.279
99,69.124
100,71.123
101,71.611
102,70.775
103,70.537
104,69.781
105,71.183
106,70.417
107,70.019
108,70.049
109,69.781
110,69.85
111,69.691
112,70.546
113,71.173
114,70.914
115,69.84
116,71.014
117,70.517
118,70.805
119,70.835
120,70.914
121,71.481
122,72.028
123,73.212
124,73.819
125,74.356
126,73.958
127,75.49
128,75.689
129,75.132
130,73.858
131,75.022
132,75.52
133,74.992
134,75.728
135,76.534
136,77.031
137,77.24
138,77.24
139,76.822
140,76.812
141,76.146
142,76.912
143,77.141
144,75.34
145,74.933
146,73.122
147,72.307
148,72.118
149,71.438
150,70.83
151,72.545
152,72.565
153,73.273
154,73.283
155,71.04
156,71.837
157,70.132
158,70.361
159,71.03
160,70.81
161,70.601
162,69.634
163,68.367
164,68.656
165,67.31
166,67.908
167,67.21
168,66.383
169,68.088
170,68.317
171,67.2
172,66.014
173,64.947
174,64.817
175,64.468
176,64.279
177,65.246
178,63.71
179,65.226
180,65.555
181,64.079
182,63.192
183,63.72
184,64.289
185,66.632
186,66.442
187,66.403
188,67.978
189,67.809
190,67.25
191,66.253
192,65.974
193,66.961
194,66.901
195,66.802
196,66.253
197,69.643
198,69.444
199,68.686
200,69.055
201,69.364
202,68.696
203,69.594
204,70.272
205,72.037
206,72.366
207,72.525
208,71.727
209,70.919
210,72.814
211,74.05
212,74.51
213,74.02
214,73.65
215,68.27
216,68.13
217,67.92
218,68.84
219,69.19
220,68.94
221,66.86
222,65.86
223,65.46
224,65.1
225,66.82
226,66.52
227,66.35
228,66.58
229,65.57
230,66.15
231,65.68
232,64.99
233,65.53
234,63.74
235,64.41
236,64.69
237,65.26
238,66.13
239,65.67
240,67.07
241,68.0
242,66.69
243,65.9
244,66.25
245,66.51
246,67.16
247,68.35
248,67.16
249,66.84
250,66.0
251,66.58
252,67.18
253,66.84
254,66.84
255,66.65
256,65.79
257,65.03
258,64.55
259,65.01
260,65.89
261,65.31
262,65.58
263,65.42
264,65.65
