Idx,price
0,62.898
1,63.189
2,62.811
3,62.103
4,62.995
5,64.158
6,63.867
7,65.079
8,64.468
9,64.827
10,64.759
11,65.69
12,65.525
13,65.321
14,65.476
15,65.379
16,65.845
17,65.04
18,66.688
19,66.562
20,66.523
21,66.736
22,66.988
23,67.231
24,66.659
25,65.66
26,66.038
27,66.32
28,66.756
29,67.114
30,67.609
31,67.522
32,68.355
33,68.84
34,68.869
35,68.646
36,69.189
37,70.187
38,71.03
39,70.866
40,70.982
41,71.457
42,71.31
43,72.082
44,72.052
45,72.677
46,73.566
47,75.441
48,75.939
49,74.699
50,74.748
51,75.06
52,75.685
53,74.943
54,74.601
55,75.46
56,75.734
57,73.966
58,74.259
59,73.81
60,74.025
61,75.382
62,73.498
63,73.312
64,73.283
65,74.513
66,74.455
67,74.865
68,74.474
69,74.494
70,74.357
71,74.503
72,74.015
73,75.099
74,76.378
75,75.206
76,74.171
77,74.396
78,74.894
79,75.314
80,75.421
81,75.763
82,74.347
83,73.673
84,73.195
85,73.302
86,73.4
87,73.478
88,74.787
89,74.386
90,74.191
91,73.322
92,71.848
93,71.154
94,71.301
95,70.91
96,72.033
97,74.669
98,74.748
99,75.861
100,77.101
101,78.097
102,76.847
103,76.437
104,75.709
105,75.552
106,74.687
107,74.942
108,73.88
109,74.116
110,74.293
111,73.753
112,73.281
113,72.769
114,74.382
115,72.504
116,71.914
117,71.599
118,71.816
119,71.727
120,71.619
121,72.396
122,73.556
123,73.54
124,72.634
125,72.477
126,72.142
127,71.857
128,71.0
129,71.0
130,72.654
131,73.796
132,73.698
133,73.304
134,74.397
135,73.373
136,72.979
137,73.402
138,72.999
139,74.16
140,73.392
141,71.64
142,71.296
143,70.39
144,70.085
145,65.714
146,66.157
147,66.363
148,68.017
149,67.545
150,67.584
151,67.692
152,68.303
153,69.071
154,71.236
155,69.937
156,69.376
157,70.666
158,70.41
159,69.1
160,68.647
161,68.382
162,70.183
163,69.612
164,69.061
165,69.268
166,70.941
167,70.597
168,69.986
169,69.435
170,70.104
171,70.341
172,69.676
173,69.14
174,67.93
175,69.091
176,68.724
177,70.202
178,70.053
179,70.807
180,71.164
181,70.569
182,69.785
183,71.63
184,72.404
185,72.186
186,73.852
187,74.001
188,76.213
189,76.848
190,77.076
191,76.828
192,77.864
193,78.162
194,78.568
195,79.352
196,79.154
197,78.757
198,75.364
199,75.79
200,75.681
201,75.552
202,76.554
203,76.842
204,78.34
205,78.241
206,78.519
207,78.618
208,78.519
209,78.41
210,79.65
211,80.245
212,80.493
213,80.067
214,79.293
215,79.303
216,79.253
217,78.211
218,78.271
219,76.743
220,76.534
221,74.411
222,72.913
223,72.586
224,72.08
225,72.754
226,73.25
227,72.318
228,72.04
229,71.425
230,71.534
231,71.385
232,71.693
233,72.05
234,71.92
235,73.0
236,71.01
237,71.65
238,71.94
239,71.6
240,72.51
241,72.31
242,72.14
243,73.75
244,74.15
245,73.26
246,72.34
247,73.17
248,72.99
249,72.45
250,72.03
251,72.65
252,71.23
253,72.77
254,74.45
255,74.53
256,74.52
257,73.65
258,71.49
259,72.2
260,73.17
261,72.25
262,71.47
263,70.85
264,71.11
