Idx,price
0,593.34
1,596.89
2,600.24
3,610.45
4,608.92
5,610.75
6,609.12
7,614.75
8,606.52
9,604.73
10,607.94
11,609.45
12,609.46
13,597.83
14,596.83
15,595.5
16,570.6
17,586.59
18,601.16
19,601.78
20,594.74
21,570.99
22,561.82
23,549.93
24,555.64
25,551.43
26,557.75
27,562.13
28,559.29
29,566.14
30,569.16
31,572.11
32,577.65
33,577.32
34,565.77
35,574.66
36,559.99
37,559.32
38,558.26
39,565.25
40,572.33
41,570.12
42,545.52
43,561.68
44,562.0
45,556.79
46,561.26
47,552.48
48,557.6
49,559.91
50,549.12
51,562.4
52,555.32
53,533.48
54,557.75
55,535.96
56,519.03
57,511.37
58,506.97
59,486.95
60,482.01
61,461.49
62,428.49
63,432.54
64,425.62
65,448.34
66,456.2
67,459.77
68,463.67
69,468.23
70,448.35
71,465.26
72,471.39
73,463.34
74,472.13
75,469.5
76,474.57
77,479.03
78,473.67
79,479.02
80,487.61
81,502.84
82,509.94
83,506.93
84,495.38
85,498.22
86,491.07
87,484.72
88,482.55
89,487.95
90,482.26
91,474.19
92,454.47
93,451.97
94,449.0
95,415.35
96,441.96
97,437.47
98,448.24
99,455.13
100,463.12
101,464.36
102,457.03
103,463.84
104,468.53
105,480.92
106,481.22
107,471.64
108,465.4
109,463.55
110,453.39
111,468.1
112,465.64
113,468.75
114,476.6
115,474.01
116,482.95
117,483.2
118,492.74
119,485.7
120,478.98
121,479.01
122,475.94
123,435.58
124,432.1
125,426.56
126,437.65
127,452.18
128,459.45
129,462.98
130,464.05
131,452.5
132,462.69
133,466.19
134,478.12
135,480.92
136,482.83
137,465.28
138,458.07
139,454.46
140,438.51
141,432.06
142,429.18
143,438.54
144,425.77
145,418.3
146,409.51
147,412.63
148,420.33
149,407.14
150,397.0
151,402.55
152,395.91
153,405.91
154,406.45
155,386.89
156,385.11
157,376.0
158,377.58
159,372.13
160,362.94
161,353.03
162,333.96
163,321.66
164,306.2
165,306.89
166,321.08
167,312.59
168,303.35
169,320.27
170,328.54
171,329.28
172,323.95
173,312.53
174,318.3
175,308.44
176,306.31
177,325.94
178,323.31
179,331.69
180,328.87
181,324.65
182,328.12
183,330.4
184,337.07
185,346.71
186,344.87
187,355.26
188,368.24
189,367.62
190,357.0
191,347.25
192,344.25
193,348.82
194,353.28
195,354.66
196,349.88
197,373.16
198,394.4
199,387.81
200,392.09
201,388.91
202,384.29
203,374.38
204,369.0
205,385.55
206,390.23
207,390.11
208,384.47
209,385.28
210,391.29
211,389.16
212,392.69
213,387.79
214,371.17
215,374.89
216,374.31
217,380.57
218,384.4
219,392.68
220,328.34
221,313.43
222,304.96
223,306.16
224,309.29
225,321.34
226,323.88
227,333.92
228,332.79
229,332.34
230,338.94
231,339.1
232,341.58
233,354.0
234,361.43
235,367.73
236,367.18
237,374.64
238,378.43
239,385.47
240,388.47
241,388.35
242,381.86
243,384.2
244,396.11
245,396.01
246,392.03
247,403.76
248,410.39
249,394.41
250,390.94
251,384.31
252,398.68
253,412.25
254,406.3
255,404.59
256,402.61
257,403.3
258,393.77
259,396.94
260,400.13
261,400.13
262,403.61
263,400.37
264,395.62
