Idx,price
0,77.76
1,76.95
2,78.82
3,81.53
4,80.57
5,80.79
6,85.67
7,85.95
8,84.15
9,83.32
10,82.01
11,84.08
12,84.22
13,82.81
14,82.06
15,81.33
16,81.35
17,80.84
18,83.52
19,82.62
20,83.15
21,84.68
22,84.78
23,86.05
24,83.49
25,81.57
26,82.85
27,84.44
28,83.41
29,84.33
30,85.61
31,86.87
32,87.98
33,87.74
34,86.75
35,87.57
36,82.46
37,84.71
38,85.59
39,85.24
40,84.93
41,86.36
42,84.19
43,85.51
44,84.18
45,84.83
46,87.12
47,88.56
48,88.48
49,86.9
50,85.81
51,86.21
52,86.54
53,84.88
54,85.99
55,89.01
56,87.84
57,84.41
58,84.86
59,81.88
60,80.72
61,81.59
62,80.55
63,79.06
64,80.34
65,82.91
66,84.82
67,84.03
68,79.19
69,79.96
70,80.65
71,81.23
72,82.32
73,84.72
74,84.1
75,81.77
76,82.64
77,84.96
78,86.04
79,87.21
80,85.31
81,81.89
82,84.41
83,81.44
84,81.21
85,82.56
86,81.97
87,83.24
88,83.35
89,82.6
90,80.02
91,79.51
92,75.7
93,76.23
94,77.46
95,76.64
96,76.32
97,80.86
98,81.87
99,83.64
100,82.95
101,84.57
102,84.33
103,84.94
104,84.61
105,86.21
106,84.75
107,86.01
108,85.26
109,88.01
110,87.22
111,86.91
112,85.19
113,85.76
114,89.66
115,89.72
116,91.35
117,90.16
118,90.51
119,90.94
120,91.93
121,93.15
122,92.51
123,92.35
124,92.97
125,92.25
126,93.31
127,92.8
128,92.97
129,93.05
130,93.32
131,94.77
132,94.82
133,94.01
134,96.64
135,97.22
136,96.33
137,94.83
138,95.34
139,96.9
140,96.8
141,95.11
142,95.62
143,95.73
144,89.94
145,91.44
146,91.19
147,89.74
148,91.24
149,90.05
150,88.33
151,89.33
152,91.26
153,91.99
154,92.9
155,90.03
156,83.92
157,86.0
158,84.28
159,84.77
160,83.41
161,80.91
162,78.94
163,78.71
164,77.71
165,77.3
166,78.18
167,77.68
168,77.81
169,80.0
170,80.87
171,80.81
172,80.24
173,74.82
174,73.76
175,75.32
176,74.32
177,75.26
178,74.3
179,75.18
180,75.32
181,75.72
182,74.15
183,73.85
184,75.81
185,83.63
186,84.8
187,84.07
188,85.8
189,85.13
190,85.93
191,85.06
192,85.08
193,81.73
194,82.95
195,84.0
196,83.88
197,84.43
198,82.07
199,82.04
200,79.67
201,79.51
202,80.93
203,82.68
204,82.12
205,82.96
206,83.63
207,84.86
208,84.93
209,84.42
210,87.05
211,85.81
212,85.79
213,86.35
214,85.93
215,87.35
216,86.49
217,86.25
218,86.89
219,83.22
220,83.0
221,80.31
222,81.4
223,81.42
224,80.38
225,81.65
226,82.24
227,81.63
228,81.58
229,81.58
230,81.72
231,82.01
232,79.74
233,79.46
234,77.26
235,78.66
236,77.59
237,76.12
238,78.44
239,78.18
240,77.04
241,76.74
242,75.09
243,75.86
244,76.15
245,75.79
246,75.76
247,76.05
248,76.61
249,75.25
250,74.7
251,76.24
252,75.14
253,72.57
254,71.01
255,71.01
256,70.98
257,72.92
258,71.56
259,72.74
260,73.08
261,73.38
262,73.1
263,73.01
264,73.36
