Idx,price
0,76.14
1,80.8
2,77.5
3,76.36
4,78.83
5,80.75
6,82.36
7,86.87
8,86.49
9,83.74
10,81.23
11,84.18
12,85.42
13,81.92
14,79.28
15,76.57
16,78.68
17,84.65
18,84.69
19,84.19
20,82.98
21,86.16
22,83.21
23,78.8
24,69.64
25,70.24
26,77.59
27,77.46
28,74.81
29,71.97
30,74.97
31,79.34
32,79.59
33,80.83
34,78.49
35,80.07
36,77.0
37,78.99
38,77.4
39,76.88
40,81.23
41,77.53
42,77.36
43,76.65
44,80.69
45,77.16
46,72.01
47,70.56
48,68.98
49,68.58
50,67.02
51,70.01
52,68.88
53,68.37
54,71.75
55,71.7
56,68.11
57,66.6
58,68.5
59,64.83
60,64.15
61,67.39
62,66.28
63,68.35
64,67.65
65,66.39
66,62.95
67,59.95
68,52.95
69,50.77
70,48.36
71,49.83
72,54.99
73,51.99
74,51.4
75,47.95
76,48.63
77,50.11
78,48.25
79,43.14
80,46.4
81,51.02
82,51.6
83,50.17
84,49.56
85,51.87
86,50.6
87,52.34
88,52.37
89,52.15
90,50.16
91,45.5
92,39.64
93,39.39
94,41.39
95,37.67
96,39.65
97,40.11
98,39.96
99,39.52
100,44.47
101,44.05
102,42.97
103,40.27
104,38.3
105,38.53
106,42.26
107,40.32
108,41.53
109,39.59
110,38.21
111,38.72
112,38.14
113,35.39
114,37.65
115,38.6
116,41.79
117,44.25
118,44.08
119,42.65
120,42.18
121,40.3
122,43.87
123,44.89
124,45.69
125,46.04
126,49.17
127,49.26
128,48.18
129,47.67
130,49.03
131,46.1
132,48.4
133,49.33
134,51.37
135,51.41
136,52.05
137,49.19
138,49.16
139,46.71
140,44.64
141,45.67
142,45.99
143,46.85
144,44.31
145,44.14
146,43.21
147,43.12
148,42.5
149,42.6
150,43.6
151,45.27
152,46.18
153,48.33
154,49.88
155,45.58
156,46.26
157,46.65
158,45.08
159,46.43
160,45.17
161,41.54
162,37.62
163,35.37
164,33.77
165,32.94
166,34.5
167,32.42
168,32.26
169,34.15
170,38.05
171,38.52
172,38.62
173,37.28
174,35.38
175,35.19
176,36.11
177,36.35
178,35.33
179,37.65
180,38.86
181,37.31
182,37.41
183,39.61
184,41.42
185,42.49
186,42.53
187,41.51
188,44.1
189,43.73
190,44.39
191,44.08
192,43.02
193,42.64
194,44.07
195,44.65
196,42.96
197,50.62
198,52.12
199,51.51
200,54.3
201,50.73
202,49.76
203,49.98
204,48.57
205,49.18
206,49.15
207,49.68
208,48.7
209,48.87
210,50.81
211,51.84
212,51.38
213,49.79
214,48.71
215,49.16
216,50.26
217,49.34
218,50.27
219,52.55
220,49.69
221,48.28
222,47.26
223,45.04
224,45.04
225,44.91
226,42.59
227,43.09
228,41.75
229,39.99
230,41.44
231,41.6
232,42.26
233,45.39
234,42.47
235,44.11
236,43.5
237,45.3
238,45.83
239,47.21
240,48.37
241,48.28
242,47.17
243,45.52
244,47.52
245,50.34
246,51.09
247,51.85
248,52.53
249,52.41
250,50.62
251,52.06
252,53.44
253,53.75
254,54.99
255,53.5
256,54.9
257,53.74
258,53.62
259,52.17
260,52.92
261,53.29
262,53.89
263,52.18
264,52.8
