Idx,price
0,206.572
1,207.206
2,204.799
3,203.491
4,200.508
5,198.754
6,200.915
7,203.907
8,200.251
9,198.794
10,198.774
11,197.328
12,195.544
13,195.316
14,198.14
15,190.184
16,186.617
17,189.054
18,197.169
19,196.525
20,199.21
21,203.53
22,204.402
23,209.05
24,201.856
25,197.437
26,205.324
27,204.194
28,203.669
29,206.78
30,212.29
31,210.546
32,219.909
33,227.529
34,226.31
35,223.992
36,219.523
37,218.879
38,219.444
39,224.229
40,226.429
41,225.389
42,220.593
43,224.229
44,224.746
45,227.815
46,237.39
47,240.062
48,244.144
49,239.148
50,242.188
51,243.737
52,247.094
53,248.495
54,253.64
55,257.295
56,254.107
57,247.134
58,246.816
59,243.35
60,241.86
61,244.919
62,235.93
63,234.579
64,235.364
65,240.28
66,232.066
67,231.987
68,229.811
69,225.968
70,226.832
71,230.298
72,230.765
73,232.592
74,226.017
75,200.898
76,199.974
77,186.336
78,193.11
79,194.63
80,194.024
81,220.634
82,226.842
83,218.856
84,217.346
85,223.206
86,225.421
87,230.904
88,232.742
89,232.156
90,236.109
91,231.788
92,229.374
93,228.47
94,230.686
95,230.666
96,229.245
97,237.36
98,238.9
99,241.969
100,246.23
101,245.098
102,241.939
103,245.386
104,243.787
105,245.24
106,248.923
107,252.039
108,253.712
109,251.741
110,252.736
111,246.425
112,245.519
113,247.231
114,243.04
115,243.05
116,244.245
117,245.15
118,245.827
119,246.694
120,246.604
121,240.302
122,243.349
123,244.046
124,247.311
125,250.944
126,249.491
127,250.855
128,250.148
129,251.94
130,254.15
131,252.816
132,253.244
133,250.735
134,252.159
135,251.8
136,255.623
137,254.389
138,256.499
139,252.716
140,247.609
141,246.484
142,246.335
143,244.971
144,235.255
145,237.555
146,237.654
147,236.35
148,241.676
149,241.507
150,238.73
151,244.782
152,246.295
153,246.146
154,246.016
155,239.247
156,239.984
157,239.765
158,242.692
159,244.503
160,244.653
161,239.197
162,239.118
163,240.531
164,237.386
165,234.787
166,239.924
167,238.391
168,238.779
169,245.933
170,244.566
171,242.162
172,241.134
173,238.969
174,239.079
175,239.099
176,237.153
177,241.623
178,236.075
179,235.876
180,237.063
181,237.841
182,236.694
183,238.839
184,244.437
185,249.905
186,250.024
187,252.978
188,259.862
189,254.484
190,253.576
191,249.126
192,248.687
193,247.55
194,250.763
195,250.443
196,241.822
197,253.377
198,248.588
199,246.382
200,256.69
201,255.622
202,255.362
203,257.128
204,257.139
205,256.889
206,255.762
207,256.66
208,252.539
209,252.289
210,255.113
211,235.816
212,243.419
213,245.385
214,244.906
215,248.418
216,248.148
217,242.72
218,244.267
219,242.92
220,246.931
221,246.332
222,247.7
223,241.902
224,240.396
225,243.998
226,244.986
227,247.001
228,246.622
229,244.467
230,247.46
231,246.25
232,246.72
233,243.5
234,245.42
235,248.56
236,241.05
237,241.76
238,236.81
239,232.56
240,233.52
241,232.07
242,226.23
243,224.47
244,230.61
245,231.07
246,234.12
247,238.42
248,237.14
249,236.11
250,232.89
251,233.6
252,235.61
253,231.31
254,228.09
255,228.34
256,228.39
257,227.64
258,229.0
259,229.59
260,233.51
261,231.38
262,232.15
263,228.82
264,227.82
