Idx,price
0,30.08
1,30.79
2,30.69
3,34.91
4,36.03
5,37.33
6,38.82
7,38.63
8,37.81
9,36.84
10,36.68
11,37.36
12,37.35
13,35.79
14,35.62
15,35.14
16,34.44
17,35.06
18,35.53
19,34.03
20,30.09
21,31.61
22,31.34
23,30.0
24,28.95
25,30.86
26,29.98
27,30.11
28,30.56
29,30.5
30,31.12
31,32.76
32,32.61
33,33.2
34,32.99
35,33.46
36,32.27
37,32.77
38,33.54
39,32.93
40,33.93
41,33.1
42,32.63
43,31.35
44,31.86
45,30.77
46,30.4
47,30.41
48,30.71
49,30.88
50,30.7
51,31.01
52,31.25
53,31.19
54,31.41
55,31.89
56,30.71
57,29.43
58,30.14
59,29.16
60,28.85
61,29.58
62,28.7
63,29.37
64,29.89
65,30.89
66,29.73
67,29.42
68,28.19
69,28.29
70,27.55
71,28.12
72,29.67
73,29.63
74,30.69
75,29.14
76,29.64
77,29.6
78,30.06
79,29.44
80,29.45
81,34.16
82,35.08
83,35.22
84,34.57
85,35.13
86,35.25
87,35.4
88,35.69
89,35.24
90,34.49
91,32.74
92,30.15
93,31.12
94,32.34
95,29.75
96,30.19
97,30.68
98,30.54
99,30.29
100,32.15
101,32.32
102,31.31
103,30.53
104,30.31
105,29.94
106,29.89
107,29.32
108,29.87
109,29.87
110,29.26
111,28.66
112,28.55
113,27.95
114,28.74
115,29.01
116,30.79
117,30.8
118,31.27
119,31.0
120,31.16
121,30.49
122,31.69
123,31.65
124,31.6
125,31.65
126,31.12
127,31.52
128,26.15
129,25.54
130,26.22
131,25.76
132,26.33
133,26.31
134,26.64
135,26.7
136,26.68
137,25.92
138,26.23
139,25.93
140,24.69
141,25.11
142,25.03
143,25.57
144,24.33
145,24.39
146,24.51
147,24.78
148,26.7
149,27.48
150,26.4
151,26.66
152,26.6
153,26.76
154,28.36
155,27.25
156,27.63
157,27.47
158,27.04
159,27.75
160,27.05
161,27.54
162,26.3
163,23.85
164,23.57
165,23.34
166,24.08
167,24.67
168,24.48
169,26.05
170,27.4
171,27.31
172,26.89
173,26.56
174,26.78
175,26.88
176,26.7
177,27.46
178,27.13
179,27.11
180,28.04
181,28.14
182,28.35
183,28.97
184,28.78
185,28.98
186,29.05
187,28.71
188,29.89
189,28.75
190,28.82
191,28.16
192,25.71
193,27.65
194,29.0
195,28.44
196,27.99
197,29.01
198,29.46
199,29.07
200,28.61
201,28.45
202,28.36
203,28.51
204,28.68
205,29.54
206,29.61
207,29.68
208,28.95
209,29.11
210,29.67
211,29.44
212,28.86
213,27.37
214,27.81
215,26.62
216,26.73
217,26.32
218,27.3
219,27.25
220,27.29
221,27.0
222,26.3
223,25.97
224,26.16
225,26.79
226,26.22
227,26.53
228,26.69
229,25.98
230,26.74
231,26.5
232,27.67
233,28.18
234,27.66
235,28.17
236,28.27
237,28.48
238,28.3
239,28.82
240,28.81
241,29.1
242,28.96
243,28.17
244,28.4
245,29.14
246,28.01
247,27.88
248,28.56
249,28.27
250,28.11
251,28.73
252,28.84
253,29.59
254,28.89
255,27.43
256,28.15
257,28.23
258,29.15
259,28.9
260,29.64
261,29.12
262,29.36
263,28.84
264,28.76
