Idx,price
0,48.363
1,49.04
2,49.05
3,48.02
4,47.912
5,47.912
6,47.893
7,48.746
8,48.03
9,47.697
10,47.265
11,47.971
12,48.206
13,47.402
14,47.354
15,46.952
16,46.883
17,46.324
18,47.344
19,47.001
20,46.491
21,46.795
22,46.138
23,45.03
24,43.354
25,43.559
26,45.51
27,44.844
28,44.275
29,44.942
30,45.442
31,46.383
32,47.256
33,48.01
34,47.628
35,48.02
36,47.432
37,47.814
38,47.854
39,47.844
40,48.785
41,48.687
42,48.138
43,48.54
44,48.814
45,48.736
46,48.206
47,48.697
48,48.863
49,48.942
50,48.344
51,48.52
52,48.285
53,48.128
54,47.648
55,47.667
56,47.03
57,46.746
58,46.765
59,45.275
60,45.706
61,46.079
62,45.491
63,45.206
64,45.089
65,45.608
66,44.383
67,43.706
68,42.275
69,42.765
70,42.314
71,42.148
72,42.961
73,43.059
74,43.579
75,42.834
76,42.952
77,42.814
78,43.648
79,44.079
80,43.736
81,44.275
82,44.873
83,44.657
84,43.726
85,44.706
86,44.069
87,43.883
88,43.687
89,43.75
90,42.02
91,41.13
92,39.95
93,39.3
94,39.86
95,39.56
96,39.5
97,39.82
98,40.17
99,40.21
100,41.84
101,41.81
102,41.1
103,41.46
104,41.53
105,41.58
106,41.07
107,41.22
108,41.42
109,41.4
110,41.2
111,41.21
112,41.04
113,40.57
114,41.27
115,41.1
116,42.24
117,41.78
118,42.42
119,42.3
120,42.5
121,42.27
122,42.75
123,43.09
124,43.49
125,43.47
126,42.78
127,43.03
128,43.38
129,42.87
130,43.08
131,42.92
132,43.73
133,43.79
134,44.0
135,43.89
136,43.36
137,43.1
138,43.05
139,42.83
140,42.11
141,41.72
142,41.83
143,42.4
144,41.28
145,41.32
146,40.87
147,40.61
148,40.11
149,40.01
150,40.02
151,40.53
152,40.58
153,41.67
154,42.1
155,41.01
156,40.78
157,40.55
158,40.1
159,40.06
160,39.44
161,38.89
162,38.42
163,37.66
164,36.97
165,36.93
166,38.12
167,37.61
168,37.45
169,37.58
170,39.26
171,38.79
172,37.99
173,37.54
174,37.2
175,36.99
176,36.91
177,37.32
178,37.05
179,38.13
180,38.62
181,37.83
182,37.68
183,38.18
184,38.45
185,39.37
186,39.66
187,38.99
188,39.35
189,39.11
190,39.04
191,38.68
192,38.03
193,39.38
194,39.35
195,39.77
196,39.89
197,42.03
198,43.31
199,42.48
200,42.35
201,42.08
202,41.9
203,42.1
204,42.06
205,42.38
206,42.84
207,43.01
208,42.59
209,42.27
210,42.89
211,43.5
212,43.4
213,42.86
214,42.57
215,42.42
216,42.63
217,42.78
218,42.82
219,43.41
220,43.48
221,42.29
222,41.8
223,41.75
224,41.63
225,42.31
226,41.88
227,41.96
228,42.18
229,41.95
230,42.56
231,41.93
232,42.58
233,43.52
234,42.97
235,43.81
236,43.94
237,44.14
238,44.29
239,44.45
240,44.6
241,45.14
242,45.06
243,44.96
244,44.93
245,45.22
246,45.08
247,45.41
248,45.15
249,44.99
250,44.84
251,45.25
252,45.47
253,45.26
254,45.06
255,44.81
256,45.17
257,45.05
258,44.5
259,44.33
260,44.9
261,44.99
262,45.02
263,44.43
264,44.91
