Idx,price
0,70.226
1,70.316
2,71.301
3,65.756
4,64.103
5,63.596
6,65.278
7,66.184
8,65.467
9,64.97
10,64.76
11,65.398
12,65.069
13,63.088
14,63.466
15,63.416
16,62.282
17,64.155
18,65.272
19,64.534
20,63.149
21,63.986
22,62.67
23,60.398
24,57.587
25,56.102
26,58.295
27,56.292
28,56.052
29,56.77
30,56.8
31,59.381
32,60.796
33,61.694
34,61.175
35,61.215
36,60.109
37,61.115
38,61.345
39,61.873
40,63.069
41,61.923
42,60.727
43,60.428
44,60.707
45,59.65
46,59.082
47,59.551
48,59.262
49,58.654
50,58.414
51,58.953
52,57.986
53,57.667
54,58.883
55,59.76
56,59.501
57,57.607
58,57.657
59,56.72
60,57.537
61,58.444
62,57.308
63,58.574
64,59.391
65,62.501
66,60.876
67,60.577
68,59.032
69,58.215
70,57.388
71,57.338
72,58.305
73,57.926
74,59.401
75,57.597
76,58.385
77,58.076
78,58.474
79,58.773
80,58.943
81,60.469
82,61.866
83,61.637
84,61.238
85,63.004
86,62.445
87,62.864
88,63.533
89,62.834
90,60.998
91,59.032
92,56.957
93,55.949
94,56.518
95,53.634
96,53.445
97,53.954
98,54.422
99,54.652
100,56.159
101,55.58
102,54.812
103,54.412
104,54.263
105,54.752
106,54.802
107,54.961
108,55.8
109,55.889
110,55.37
111,54.642
112,54.163
113,53.544
114,54.782
115,54.153
116,56.478
117,57.067
118,58.663
119,58.294
120,58.184
121,58.094
122,59.372
123,62.335
124,64.311
125,64.291
126,64.032
127,65.139
128,65.449
129,65.129
130,65.319
131,64.8
132,66.506
133,67.135
134,68.362
135,68.342
136,68.512
137,67.893
138,68.183
139,67.414
140,65.528
141,65.648
142,65.798
143,66.836
144,64.6
145,64.072
146,63.552
147,63.262
148,63.202
149,62.503
150,63.003
151,64.771
152,65.2
153,65.95
154,66.849
155,64.112
156,64.012
157,64.212
158,62.653
159,63.842
160,63.202
161,62.154
162,60.825
163,59.806
164,59.147
165,58.558
166,60.326
167,59.147
168,58.238
169,60.565
170,62.204
171,61.834
172,61.374
173,59.996
174,59.516
175,59.037
176,58.947
177,60.236
178,58.807
179,60.485
180,61.594
181,60.605
182,59.516
183,61.384
184,62.693
185,63.842
186,62.573
187,62.503
188,64.141
189,63.832
190,63.872
191,62.184
192,62.363
193,64.521
194,64.471
195,64.531
196,64.271
197,67.828
198,68.397
199,66.839
200,66.669
201,66.978
202,66.329
203,66.539
204,67.138
205,67.688
206,67.818
207,67.997
208,65.58
209,65.6
210,67.55
211,67.89
212,68.24
213,67.22
214,66.53
215,66.41
216,66.56
217,65.72
218,67.03
219,67.76
220,66.86
221,64.37
222,63.84
223,63.61
224,63.82
225,65.07
226,63.94
227,64.15
228,64.32
229,63.45
230,64.75
231,64.25
232,64.27
233,65.22
234,63.93
235,65.54
236,65.81
237,66.12
238,67.01
239,67.08
240,67.43
241,67.33
242,66.34
243,65.12
244,65.45
245,66.87
246,67.24
247,66.76
248,66.92
249,67.01
250,66.23
251,68.03
252,65.87
253,67.81
254,69.08
255,68.94
256,69.33
257,69.1
258,68.22
259,68.13
260,69.18
261,69.02
262,69.54
263,68.7
264,69.36
