Idx,price
0,135.698
1,137.878
2,148.036
3,142.65
4,143.016
5,138.938
6,139.213
7,141.453
8,138.602
9,134.13
10,135.3
11,136.426
12,137.488
13,132.308
14,130.468
15,129.402
16,127.585
17,132.674
18,134.52
19,134.891
20,134.168
21,134.752
22,134.308
23,132.122
24,126.464
25,127.278
26,133.866
27,132.682
28,130.476
29,126.741
30,129.661
31,133.69
32,134.6
33,136.802
34,136.478
35,140.278
36,138.504
37,141.312
38,141.522
39,141.95
40,143.25
41,142.644
42,139.65
43,140.7
44,143.642
45,141.063
46,137.176
47,136.465
48,134.01
49,129.797
50,128.375
51,130.286
52,127.253
53,127.961
54,130.531
55,128.246
56,124.938
57,119.614
58,123.25
59,119.506
60,115.02
61,119.412
62,114.966
63,117.157
64,118.13
65,122.575
66,116.746
67,115.66
68,113.084
69,114.584
70,113.961
71,113.161
72,116.516
73,114.792
74,116.702
75,112.401
76,110.746
77,109.313
78,111.666
79,105.926
80,105.84
81,108.296
82,112.799
83,114.039
84,114.137
85,117.746
86,114.564
87,117.01
88,117.23
89,117.238
90,114.918
91,111.428
92,106.876
93,107.194
94,110.39
95,106.636
96,107.866
97,112.015
98,112.034
99,112.684
100,118.538
101,116.622
102,112.572
103,112.256
104,109.372
105,109.081
106,113.887
107,115.214
108,119.306
109,120.168
110,116.522
111,114.85
112,112.187
113,111.44
114,112.767
115,109.91
116,114.62
117,114.7
118,115.04
119,108.36
120,108.21
121,105.44
122,113.6
123,114.59
124,116.64
125,115.48
126,115.9
127,118.78
128,118.87
129,118.22
130,118.14
131,117.5
132,120.65
133,119.82
134,122.65
135,122.88
136,122.51
137,120.32
138,120.86
139,118.12
140,115.07
141,114.77
142,114.7
143,117.7
144,111.3
145,110.34
146,109.91
147,109.15
148,110.55
149,108.68
150,107.48
151,110.48
152,109.42
153,111.78
154,111.87
155,105.31
156,105.87
157,103.9
158,103.63
159,103.85
160,101.83
161,100.01
162,100.57
163,99.17
164,98.81
165,98.09
166,100.74
167,98.09
168,96.15
169,99.3
170,102.41
171,102.22
172,102.24
173,99.57
174,98.71
175,98.05
176,98.3
177,99.71
178,97.18
179,100.78
180,101.39
181,100.29
182,100.53
183,101.48
184,102.97
185,104.93
186,94.82
187,92.6
188,96.58
189,94.66
190,90.5
191,87.07
192,83.49
193,86.7
194,88.65
195,88.91
196,87.4
197,94.17
198,96.73
199,96.03
200,98.72
201,98.99
202,98.5
203,97.8
204,95.83
205,97.33
206,98.82
207,97.6
208,96.25
209,95.44
210,101.45
211,101.28
212,100.83
213,99.87
214,97.31
215,95.15
216,93.95
217,93.07
218,93.56
219,95.85
220,95.31
221,91.2
222,90.86
223,89.15
224,89.63
225,90.25
226,88.26
227,89.81
228,87.93
229,86.46
230,88.95
231,88.73
232,89.7
233,88.71
234,86.77
235,88.16
236,88.8
237,89.24
238,92.26
239,91.91
240,92.8
241,92.16
242,91.78
243,93.91
244,99.28
245,101.21
246,99.21
247,96.73
248,99.16
249,100.71
250,97.95
251,99.87
252,101.43
253,108.8
254,105.22
255,103.47
256,108.04
257,100.0
258,95.46
259,94.86
260,95.0
261,94.95
262,97.1
263,95.78
264,94.59
