Idx,price
0,130.012
1,131.037
2,131.974
3,129.554
4,126.684
5,125.113
6,126.977
7,128.91
8,124.313
9,123.63
10,123.991
11,125.894
12,126.821
13,124.528
14,123.796
15,120.605
16,115.97
17,117.941
18,120.478
19,119.21
20,117.365
21,121.903
22,121.711
23,120.492
24,116.561
25,117.711
26,119.431
27,120.66
28,119.608
29,120.011
30,122.399
31,125.879
32,125.859
33,126.793
34,126.085
35,125.967
36,125.309
37,125.898
38,126.341
39,125.456
40,128.051
41,126.626
42,123.864
43,123.775
44,127.068
45,124.729
46,125.426
47,126.989
48,129.761
49,128.424
50,129.437
51,129.27
52,128.7
53,128.896
54,131.53
55,135.314
56,135.766
57,131.353
58,131.864
59,131.648
60,131.638
61,130.911
62,127.825
63,128.257
64,129.515
65,132.867
66,128.071
67,128.552
68,129.682
69,128.709
70,127.048
71,130.429
72,132.474
73,133.938
74,135.255
75,129.23
76,129.741
77,126.341
78,127.422
79,128.69
80,130.891
81,133.712
82,136.799
83,134.39
84,133.496
85,135.331
86,134.51
87,138.181
88,139.319
89,137.983
90,138.112
91,134.49
92,130.216
93,131.037
94,131.018
95,126.951
96,125.873
97,129.425
98,130.226
99,131.878
100,135.302
101,135.688
102,134.016
103,132.096
104,131.591
105,131.938
106,133.808
107,133.867
108,136.509
109,135.688
110,136.153
111,135.5
112,135.846
113,135.242
114,137.073
115,136.667
116,140.288
117,141.011
118,141.04
119,142.96
120,142.999
121,141.218
122,144.82
123,148.026
124,151.251
125,151.31
126,149.163
127,149.43
128,148.342
129,149.381
130,150.291
131,150.46
132,153.319
133,154.951
134,156.426
135,156.802
136,157.464
137,158.889
138,158.276
139,158.157
140,155.288
141,156.069
142,155.604
143,158.028
144,154.763
145,155.486
146,154.556
147,154.358
148,156.015
149,156.482
150,156.622
151,161.159
152,161.149
153,162.005
154,162.354
155,157.169
156,155.527
157,153.656
158,153.925
159,157.756
160,156.383
161,154.84
162,153.567
163,150.303
164,148.402
165,147.914
166,151.925
167,148.969
168,148.591
169,152.164
170,155.706
171,156.741
172,156.064
173,153.119
174,153.746
175,156.015
176,154.164
177,155.776
178,153.736
179,157.468
180,159.846
181,158.194
182,157.099
183,161.557
184,169.717
185,170.812
186,170.444
187,174.126
188,177.987
189,176.992
190,178.375
191,174.215
192,176.186
193,177.33
194,179.141
195,179.688
196,177.509
197,181.31
198,177.091
199,178.892
200,180.544
201,179.022
202,178.524
203,179.798
204,181.4
205,183.092
206,183.022
207,185.192
208,182.336
209,179.669
210,182.435
211,184.9
212,187.28
213,184.92
214,182.66
215,182.86
216,185.63
217,182.26
218,182.02
219,178.05
220,179.08
221,178.76
222,176.81
223,175.87
224,175.63
225,177.96
226,174.99
227,176.57
228,177.29
229,175.19
230,175.24
231,173.51
232,169.81
233,171.94
234,168.57
235,170.84
236,170.41
237,169.75
238,169.16
239,168.95
240,169.56
241,168.54
242,166.2
243,161.37
244,161.74
245,162.7
246,165.44
247,166.47
248,167.99
249,165.94
250,166.61
251,167.82
252,168.57
253,170.75
254,168.29
255,169.18
256,168.97
257,169.46
258,169.25
259,173.04
260,175.79
261,176.61
262,179.68
263,179.15
264,180.14
