Idx,price
0,19.12
1,19.26
2,19.32
3,19.4
4,19.67
5,19.63
6,19.41
7,19.63
8,19.5
9,19.93
10,20.06
11,19.7
12,19.63
13,19.77
14,19.84
15,20.17
16,20.28
17,20.58
18,20.23
19,20.81
20,22.07
21,23.19
22,23.23
23,24.26
24,24.91
25,25.85
26,23.08
27,22.58
28,23.0
29,22.1
30,21.46
31,21.29
32,22.5
33,22.7
34,23.82
35,23.65
36,24.49
37,24.19
38,24.38
39,22.97
40,23.05
41,23.42
42,22.65
43,22.61
44,23.14
45,22.77
46,22.42
47,22.36
48,22.62
49,22.26
50,23.11
51,23.76
52,24.06
53,24.45
54,23.64
55,23.72
56,23.76
57,23.35
58,23.08
59,23.43
60,23.6
61,23.89
62,23.68
63,24.06
64,23.56
65,24.43
66,24.33
67,24.37
68,22.97
69,22.85
70,23.58
71,23.73
72,24.17
73,24.75
74,24.46
75,23.93
76,24.3
77,24.42
78,24.58
79,24.49
80,24.63
81,24.99
82,25.25
83,25.04
84,25.19
85,25.68
86,25.92
87,25.94
88,26.13
89,26.34
90,26.28
91,26.0
92,25.77
93,25.3
94,25.25
95,25.41
96,24.5
97,24.48
98,24.01
99,23.47
100,23.83
101,23.94
102,24.23
103,23.79
104,23.1
105,23.38
106,21.85
107,21.54
108,22.4
109,22.77
110,22.76
111,21.58
112,21.73
113,21.62
114,21.89
115,22.48
116,22.6
117,22.6
118,22.17
119,21.92
120,22.31
121,22.33
122,22.86
123,22.79
124,22.93
125,22.25
126,22.05
127,21.85
128,21.56
129,21.47
130,21.69
131,21.89
132,22.22
133,22.66
134,22.57
135,22.12
136,21.86
137,22.02
138,22.36
139,22.38
140,22.61
141,23.03
142,23.29
143,23.02
144,23.07
145,23.49
146,22.76
147,22.25
148,21.73
149,21.89
150,21.72
151,21.14
152,21.26
153,21.87
154,22.21
155,22.06
156,22.16
157,21.42
158,21.38
159,21.51
160,21.46
161,21.38
162,21.33
163,20.53
164,20.04
165,20.32
166,20.98
167,20.88
168,20.58
169,21.13
170,21.74
171,22.1
172,22.23
173,22.61
174,22.31
175,21.97
176,21.87
177,22.28
178,21.73
179,21.68
180,21.4
181,21.43
182,21.46
183,21.58
184,21.59
185,21.69
186,22.17
187,22.17
188,21.98
189,21.85
190,22.1
191,22.23
192,22.17
193,22.98
194,22.83
195,22.44
196,21.84
197,22.02
198,22.42
199,21.98
200,22.31
201,22.07
202,21.63
203,21.44
204,21.4
205,21.66
206,21.25
207,21.02
208,20.85
209,21.13
210,21.59
211,21.47
212,21.21
213,20.59
214,20.1
215,19.94
216,19.87
217,19.89
218,20.22
219,20.68
220,20.93
221,20.74
222,20.43
223,20.41
224,20.42
225,20.87
226,20.71
227,21.09
228,21.24
229,21.04
230,20.99
231,21.23
232,20.58
233,19.92
234,19.86
235,19.97
236,20.21
237,20.21
238,20.68
239,20.9
240,21.15
241,21.37
242,21.08
243,21.28
244,21.49
245,21.6
246,21.37
247,21.32
248,21.48
249,21.2
250,20.87
251,21.21
252,20.69
253,20.47
254,19.99
255,20.13
256,20.59
257,20.68
258,20.53
259,20.9
260,20.83
261,20.9
262,20.64
263,20.53
264,20.3
