Idx,price
0,5.419
1,5.447
2,5.449
3,5.413
4,5.365
5,5.332
6,5.352
7,5.378
8,5.366
9,5.357
10,5.345
11,5.351
12,5.367
13,5.349
14,5.331
15,5.322
16,5.34
17,5.323
18,5.297
19,5.35
20,5.316
21,5.301
22,5.317
23,5.292
24,5.252
25,5.196
26,5.192
27,5.252
28,5.218
29,5.21
30,5.201
31,5.188
32,5.248
33,5.282
34,5.27
35,5.278
36,5.28
37,5.274
38,5.27
39,5.269
40,5.274
41,5.326
42,5.302
43,5.301
44,5.303
45,5.321
46,5.304
47,5.269
48,5.258
49,5.262
50,5.242
51,5.227
52,5.22
53,5.223
54,5.21
55,5.23
56,5.226
57,5.205
58,5.178
59,5.168
60,5.144
61,5.138
62,5.117
63,5.114
64,5.088
65,5.044
66,5.03
67,4.998
68,5.044
69,5.09
70,5.085
71,5.111
72,5.095
73,5.11
74,5.061
75,5.073
76,5.043
77,5.06
78,5.044
79,5.076
80,5.114
81,5.13
82,5.122
83,5.085
84,5.086
85,5.098
86,5.08
87,5.066
88,5.012
89,4.943
90,4.861
91,4.872
92,4.89
93,4.828
94,4.835
95,4.86
96,4.871
97,4.866
98,4.85
99,4.866
100,4.848
101,4.816
102,4.772
103,4.764
104,4.778
105,4.783
106,4.754
107,4.788
108,4.82
109,4.842
110,4.828
111,4.834
112,4.814
113,4.771
114,4.825
115,4.848
116,4.928
117,4.937
118,4.947
119,5.011
120,5.002
121,4.923
122,4.969
123,5.04
124,5.056
125,5.078
126,5.049
127,5.074
128,5.076
129,5.068
130,5.102
131,5.07
132,5.114
133,5.116
134,5.129
135,5.13
136,5.092
137,5.048
138,5.053
139,4.997
140,4.946
141,4.978
142,4.994
143,5.022
144,4.971
145,4.91
146,4.902
147,4.87
148,4.944
149,4.878
150,4.902
151,4.926
152,4.948
153,4.978
154,4.998
155,4.944
156,4.944
157,4.93
158,4.89
159,4.864
160,4.886
161,4.865
162,4.843
163,4.812
164,4.795
165,4.794
166,4.753
167,4.808
168,4.816
169,4.874
170,4.837
171,4.838
172,4.786
173,4.767
174,4.755
175,4.764
176,4.759
177,4.769
178,4.801
179,4.801
180,4.796
181,4.788
182,4.784
183,4.811
184,4.869
185,4.87
186,4.869
187,4.902
188,4.885
189,4.906
190,4.89
191,4.864
192,4.918
193,4.925
194,4.944
195,4.934
196,4.985
197,5.019
198,5.016
199,5.014
200,4.981
201,4.965
202,4.991
203,4.996
204,5.03
205,5.053
206,5.072
207,5.056
208,5.042
209,5.048
210,5.062
211,5.101
212,5.092
213,5.073
214,5.072
215,5.05
216,5.045
217,5.058
218,5.048
219,5.096
220,5.096
221,5.025
222,4.99
223,4.992
224,4.992
225,5.042
226,5.035
227,5.044
228,5.022
229,5.034
230,5.028
231,5.059
232,5.088
233,5.062
234,5.103
235,5.112
236,5.094
237,5.111
238,5.136
239,5.136
240,5.139
241,5.156
242,5.174
243,5.136
244,5.135
245,5.148
246,5.152
247,5.147
248,5.154
249,5.16
250,5.136
251,5.144
252,5.152
253,5.22
254,5.218
255,5.196
256,5.184
257,5.174
258,5.19
259,5.161
260,5.166
261,5.172
262,5.173
263,5.179
264,5.164
