Idx,price
0,80.129
1,80.447
2,80.571
3,79.849
4,79.536
5,79.479
6,79.393
7,79.811
8,78.757
9,78.482
10,78.349
11,78.482
12,78.918
13,78.586
14,78.7
15,78.52
16,78.377
17,78.938
18,79.384
19,79.441
20,79.219
21,79.41
22,79.172
23,78.657
24,77.971
25,77.694
26,78.342
27,77.685
28,77.123
29,76.208
30,76.78
31,77.856
32,78.39
33,78.647
34,77.742
35,78.142
36,77.894
37,78.056
38,77.494
39,77.98
40,78.943
41,78.704
42,78.419
43,78.412
44,79.006
45,77.982
46,77.37
47,77.245
48,76.776
49,76.25
50,76.834
51,77.293
52,76.776
53,76.652
54,76.585
55,76.824
56,76.298
57,75.839
58,76.48
59,76.03
60,75.657
61,76.078
62,75.14
63,75.145
64,75.539
65,76.307
66,74.953
67,74.53
68,73.742
69,74.165
70,73.723
71,73.694
72,73.781
73,73.675
74,73.608
75,73.003
76,73.493
77,73.445
78,73.733
79,74.175
80,75.299
81,76.346
82,77.028
83,76.365
84,76.082
85,76.4
86,75.832
87,75.263
88,75.436
89,74.79
90,74.192
91,72.929
92,70.489
93,70.952
94,72.331
95,71.184
96,71.406
97,71.357
98,71.338
99,71.849
100,72.36
101,71.916
102,71.126
103,71.02
104,70.981
105,71.658
106,71.591
107,71.319
108,72.482
109,72.54
110,72.133
111,72.424
112,72.346
113,72.21
114,73.131
115,72.424
116,73.382
117,73.702
118,74.574
119,74.477
120,74.458
121,73.935
122,74.748
123,75.514
124,75.736
125,75.76
126,75.409
127,76.071
128,76.275
129,75.886
130,75.954
131,75.39
132,76.518
133,76.08
134,76.761
135,76.625
136,76.265
137,75.478
138,75.594
139,74.826
140,73.98
141,74.165
142,74.252
143,74.952
144,73.717
145,73.435
146,72.871
147,72.473
148,72.664
149,72.616
150,72.42
151,73.466
152,73.788
153,74.081
154,74.306
155,72.616
156,72.723
157,72.264
158,72.508
159,72.782
160,72.039
161,71.824
162,71.394
163,70.485
164,69.655
165,69.508
166,70.749
167,70.084
168,69.762
169,70.676
170,72.198
171,71.914
172,71.698
173,70.824
174,69.96
175,70.176
176,70.293
177,70.45
178,70.225
179,71.089
180,71.59
181,70.902
182,70.509
183,71.187
184,71.236
185,71.924
186,72.12
187,72.65
188,73.21
189,72.11
190,72.544
191,71.883
192,71.371
193,71.864
194,71.854
195,71.785
196,70.927
197,73.135
198,73.392
199,72.849
200,73.49
201,73.332
202,73.017
203,73.175
204,73.145
205,73.678
206,74.092
207,73.944
208,73.165
209,73.48
210,74.584
211,74.861
212,74.801
213,74.089
214,73.821
215,74.227
216,74.287
217,74.287
218,74.574
219,75.346
220,74.92
221,74.638
222,74.24
223,73.862
224,73.673
225,74.3
226,73.842
227,74.031
228,73.265
229,72.279
230,73.215
231,73.274
232,73.414
233,74.26
234,74.11
235,75.165
236,75.434
237,75.344
238,75.842
239,76.27
240,76.27
241,76.011
242,76.101
243,75.653
244,75.802
245,75.792
246,75.842
247,75.832
248,76.021
249,75.792
250,75.375
251,75.962
252,76.76
253,77.2
254,76.39
255,75.9
256,76.17
257,75.85
258,75.36
259,74.78
260,74.97
261,74.99
262,74.87
263,74.27
264,74.56
