Idx,price
0,34.22
1,34.27
2,34.38
3,34.36
4,34.39
5,34.66
6,34.73
7,34.87
8,34.73
9,35.41
10,35.58
11,35.23
12,35.61
13,36.1
14,36.06
15,36.15
16,36.31
17,36.08
18,35.96
19,36.31
20,36.99
21,36.61
22,36.82
23,37.4
24,37.95
25,38.98
26,37.84
27,37.97
28,37.68
29,37.11
30,36.45
31,36.65
32,36.85
33,36.5
34,36.78
35,36.54
36,36.99
37,37.29
38,37.16
39,36.48
40,36.5
41,36.76
42,36.83
43,36.54
44,36.73
45,36.49
46,36.58
47,36.7
48,36.97
49,37.14
50,37.42
51,37.62
52,37.47
53,37.59
54,37.01
55,37.22
56,37.09
57,36.72
58,36.06
59,36.11
60,35.84
61,36.04
62,36.04
63,35.37
64,35.47
65,35.82
66,35.67
67,35.74
68,35.21
69,34.91
70,35.2
71,34.66
72,34.39
73,34.71
74,34.51
75,34.51
76,35.03
77,35.04
78,35.23
79,35.48
80,35.26
81,35.2
82,35.23
83,34.87
84,35.09
85,35.52
86,35.15
87,34.98
88,35.21
89,35.2
90,35.09
91,35.56
92,34.62
93,34.34
94,34.8
95,35.19
96,34.89
97,34.76
98,34.92
99,34.68
100,34.66
101,34.63
102,34.56
103,34.55
104,34.31
105,34.3
106,33.58
107,33.05
108,33.07
109,33.09
110,32.88
111,32.77
112,32.94
113,32.45
114,32.4
115,32.42
116,32.51
117,32.21
118,32.66
119,32.75
120,32.65
121,32.61
122,32.95
123,33.35
124,33.45
125,33.63
126,33.42
127,33.52
128,34.05
129,33.68
130,33.97
131,34.07
132,34.01
133,33.9
134,34.21
135,33.78
136,33.71
137,33.5
138,33.41
139,33.15
140,32.93
141,33.18
142,33.27
143,33.38
144,32.98
145,32.99
146,32.71
147,32.46
148,32.16
149,32.47
150,32.27
151,32.61
152,32.4
153,32.58
154,32.75
155,32.31
156,32.19
157,31.58
158,31.75
159,31.78
160,31.61
161,31.74
162,31.73
163,31.18
164,30.82
165,30.88
166,31.52
167,31.52
168,31.53
169,32.28
170,32.75
171,32.58
172,32.55
173,32.19
174,31.69
175,31.62
176,31.81
177,31.57
178,31.17
179,31.28
180,31.34
181,30.92
182,30.88
183,31.43
184,31.32
185,31.39
186,31.6
187,31.56
188,31.22
189,30.98
190,31.29
191,31.06
192,30.96
193,31.91
194,31.77
195,32.49
196,32.34
197,33.33
198,33.56
199,33.64
200,33.74
201,33.66
202,33.41
203,33.19
204,33.01
205,33.03
206,33.24
207,33.28
208,33.01
209,33.19
210,33.6
211,34.23
212,34.12
213,33.51
214,33.62
215,33.91
216,33.94
217,34.05
218,33.76
219,34.36
220,34.28
221,33.72
222,34.0
223,33.91
224,34.49
225,34.43
226,33.99
227,34.11
228,34.38
229,34.22
230,34.44
231,34.59
232,34.88
233,35.21
234,34.79
235,35.43
236,35.5
237,35.62
238,35.61
239,36.02
240,36.45
241,36.21
242,36.11
243,36.69
244,36.55
245,36.62
246,36.75
247,36.94
248,36.59
249,36.55
250,36.44
251,36.59
252,37.07
253,36.26
254,35.37
255,35.45
256,35.48
257,35.58
258,35.29
259,35.35
260,35.18
261,35.2
262,34.84
263,34.84
264,34.93
