Idx,price
0,5.26
1,5.266
2,5.26
3,5.216
4,5.173
5,5.154
6,5.158
7,5.173
8,5.153
9,5.146
10,5.149
11,5.138
12,5.15
13,5.149
14,5.155
15,5.146
16,5.129
17,5.128
18,5.126
19,5.122
20,5.136
21,5.188
22,5.171
23,5.171
24,5.18
25,5.124
26,5.106
27,5.119
28,5.082
29,5.082
30,5.064
31,5.073
32,5.076
33,5.086
34,5.09
35,5.077
36,5.065
37,5.072
38,5.063
39,5.054
40,5.057
41,5.064
42,5.042
43,5.069
44,5.065
45,5.079
46,5.052
47,5.045
48,5.029
49,5.02
50,4.996
51,5.002
52,5.002
53,5.005
54,4.98
55,4.986
56,4.966
57,4.946
58,4.961
59,4.966
60,4.948
61,4.924
62,4.92
63,4.921
64,4.9
65,4.886
66,4.854
67,4.852
68,4.879
69,4.886
70,4.922
71,4.913
72,4.911
73,4.892
74,4.882
75,4.884
76,4.884
77,4.876
78,4.882
79,4.888
80,4.896
81,4.91
82,4.897
83,4.867
84,4.861
85,4.836
86,4.838
87,4.818
88,4.772
89,4.73
90,4.674
91,4.663
92,4.682
93,4.646
94,4.646
95,4.645
96,4.644
97,4.67
98,4.706
99,4.709
100,4.688
101,4.639
102,4.662
103,4.696
104,4.738
105,4.715
106,4.75
107,4.776
108,4.765
109,4.776
110,4.794
111,4.82
112,4.808
113,4.78
114,4.807
115,4.798
116,4.802
117,4.811
118,4.813
119,4.894
120,4.891
121,4.877
122,4.892
123,4.94
124,4.94
125,4.949
126,4.939
127,4.928
128,4.933
129,4.898
130,4.918
131,4.9
132,4.924
133,4.912
134,4.908
135,4.925
136,4.902
137,4.854
138,4.849
139,4.809
140,4.778
141,4.782
142,4.779
143,4.8
144,4.766
145,4.719
146,4.705
147,4.699
148,4.732
149,4.705
150,4.7
151,4.714
152,4.695
153,4.708
154,4.724
155,4.686
156,4.698
157,4.676
158,4.663
159,4.61
160,4.631
161,4.604
162,4.593
163,4.568
164,4.536
165,4.55
166,4.533
167,4.565
168,4.604
169,4.628
170,4.587
171,4.574
172,4.546
173,4.516
174,4.522
175,4.51
176,4.514
177,4.509
178,4.528
179,4.522
180,4.509
181,4.508
182,4.504
183,4.527
184,4.56
185,4.566
186,4.579
187,4.58
188,4.554
189,4.576
190,4.578
191,4.558
192,4.573
193,4.564
194,4.575
195,4.582
196,4.64
197,4.635
198,4.631
199,4.645
200,4.656
201,4.646
202,4.663
203,4.668
204,4.677
205,4.694
206,4.709
207,4.686
208,4.686
209,4.699
210,4.697
211,4.744
212,4.744
213,4.735
214,4.744
215,4.752
216,4.739
217,4.721
218,4.701
219,4.714
220,4.74
221,4.68
222,4.662
223,4.652
224,4.632
225,4.632
226,4.625
227,4.64
228,4.599
229,4.646
230,4.634
231,4.62
232,4.668
233,4.656
234,4.687
235,4.658
236,4.645
237,4.688
238,4.707
239,4.704
240,4.694
241,4.716
242,4.755
243,4.733
244,4.713
245,4.7
246,4.709
247,4.73
248,4.725
249,4.724
250,4.689
251,4.694
252,4.708
253,4.783
254,4.76
255,4.723
256,4.72
257,4.717
258,4.728
259,4.707
260,4.694
261,4.681
262,4.674
263,4.69
264,4.689
