Idx,price
0,7.518
1,7.599
2,7.614
3,7.552
4,7.468
5,7.509
6,7.569
7,7.688
8,7.706
9,7.716
10,7.567
11,7.672
12,7.65
13,7.611
14,7.54
15,7.445
16,7.451
17,7.434
18,7.116
19,7.34
20,7.219
21,7.035
22,7.104
23,6.943
24,6.659
25,6.549
26,6.587
27,6.9
28,6.792
29,6.848
30,6.933
31,6.949
32,7.135
33,7.138
34,7.186
35,7.196
36,7.28
37,7.218
38,7.252
39,7.254
40,7.272
41,7.341
42,7.317
43,7.225
44,7.272
45,7.313
46,7.253
47,7.204
48,7.169
49,7.299
50,7.298
51,7.274
52,7.28
53,7.311
54,7.314
55,7.347
56,7.378
57,7.246
58,7.089
59,7.054
60,7.102
61,7.126
62,7.193
63,7.208
64,7.139
65,7.094
66,7.015
67,6.862
68,6.913
69,7.015
70,6.97
71,7.114
72,7.146
73,7.278
74,7.221
75,7.149
76,7.184
77,7.302
78,7.226
79,7.338
80,7.412
81,7.449
82,7.444
83,7.4
84,7.382
85,7.472
86,7.452
87,7.406
88,7.323
89,7.098
90,6.926
91,6.878
92,6.992
93,6.802
94,6.772
95,6.859
96,6.882
97,6.795
98,6.658
99,6.808
100,6.844
101,6.873
102,6.797
103,6.63
104,6.627
105,6.664
106,6.449
107,6.516
108,6.682
109,6.752
110,6.673
111,6.687
112,6.618
113,6.482
114,6.616
115,6.696
116,6.823
117,6.792
118,6.794
119,6.782
120,6.83
121,6.813
122,6.848
123,6.885
124,6.945
125,6.93
126,6.949
127,6.988
128,6.974
129,6.974
130,7.022
131,6.984
132,7.038
133,7.034
134,7.062
135,7.04
136,7.117
137,7.021
138,7.055
139,6.978
140,6.899
141,6.906
142,6.884
143,6.9
144,6.81
145,6.765
146,6.701
147,6.608
148,6.74
149,6.684
150,6.725
151,6.686
152,6.702
153,6.816
154,6.953
155,6.873
156,6.807
157,6.795
158,6.688
159,6.637
160,6.66
161,6.594
162,6.372
163,6.343
164,6.322
165,6.336
166,6.208
167,6.285
168,6.358
169,6.543
170,6.477
171,6.428
172,6.392
173,6.408
174,6.368
175,6.327
176,6.444
177,6.438
178,6.556
179,6.572
180,6.547
181,6.55
182,6.538
183,6.642
184,6.689
185,6.732
186,6.759
187,6.753
188,6.794
189,6.852
190,6.792
191,6.745
192,6.87
193,6.902
194,6.93
195,6.885
196,7.013
197,7.0
198,7.027
199,7.055
200,6.994
201,6.971
202,7.077
203,7.066
204,7.138
205,7.161
206,7.192
207,7.212
208,7.149
209,7.174
210,7.212
211,7.221
212,7.232
213,7.21
214,7.175
215,7.15
216,7.12
217,7.163
218,7.119
219,7.174
220,7.145
221,6.982
222,6.902
223,6.941
224,6.942
225,7.05
226,6.992
227,7.022
228,7.002
229,7.051
230,7.003
231,7.148
232,7.244
233,7.254
234,7.338
235,7.377
236,7.312
237,7.327
238,7.426
239,7.414
240,7.454
241,7.46
242,7.468
243,7.368
244,7.391
245,7.437
246,7.413
247,7.389
248,7.448
249,7.487
250,7.486
251,7.481
252,7.488
253,7.556
254,7.548
255,7.505
256,7.538
257,7.574
258,7.632
259,7.574
260,7.603
261,7.652
262,7.676
263,7.703
264,7.7
