Idx,price
0,46.082
1,46.345
2,46.677
3,46.462
4,46.306
5,46.286
6,46.608
7,47.282
8,46.784
9,46.521
10,45.965
11,46.364
12,46.501
13,46.54
14,46.179
15,45.848
16,45.487
17,45.292
18,46.677
19,46.979
20,46.033
21,46.677
22,46.404
23,46.413
24,45.701
25,45.721
26,46.677
27,46.472
28,46.208
29,45.906
30,46.316
31,46.823
32,47.301
33,47.73
34,47.73
35,47.916
36,47.818
37,48.442
38,49.037
39,48.94
40,49.428
41,49.701
42,49.613
43,50.052
44,49.847
45,49.642
46,49.944
47,49.984
48,50.315
49,49.759
50,49.759
51,50.237
52,50.344
53,50.013
54,50.374
55,50.686
56,49.944
57,49.223
58,48.872
59,48.374
60,48.481
61,49.057
62,47.652
63,47.672
64,48.12
65,49.096
66,48.062
67,48.218
68,47.008
69,46.677
70,46.706
71,46.423
72,47.496
73,47.954
74,48.745
75,48.042
76,48.335
77,48.55
78,49.213
79,49.359
80,49.554
81,49.681
82,50.227
83,49.866
84,49.798
85,50.374
86,50.091
87,50.12
88,50.257
89,49.847
90,48.606
91,48.121
92,46.38
93,45.608
94,45.915
95,44.857
96,44.788
97,45.658
98,45.43
99,45.678
100,46.439
101,46.518
102,46.489
103,46.301
104,46.242
105,46.805
106,45.539
107,45.391
108,45.767
109,45.915
110,45.539
111,45.262
112,45.322
113,45.233
114,45.49
115,45.698
116,46.281
117,45.787
118,45.806
119,46.133
120,46.588
121,46.449
122,46.983
123,47.567
124,47.864
125,47.824
126,47.31
127,47.765
128,47.765
129,47.468
130,47.854
131,48.032
132,48.457
133,48.774
134,49.12
135,48.863
136,49.258
137,49.12
138,49.07
139,48.704
140,48.062
141,48.338
142,48.428
143,48.873
144,47.913
145,47.933
146,47.191
147,46.815
148,46.706
149,46.568
150,46.222
151,47.053
152,46.993
153,47.775
154,48.23
155,47.161
156,47.409
157,46.756
158,46.182
159,46.553
160,45.886
161,45.055
162,44.976
163,43.432
164,42.572
165,42.058
166,42.987
167,42.018
168,41.375
169,42.305
170,43.353
171,42.77
172,41.88
173,41.246
174,40.96
175,40.673
176,40.129
177,41.158
178,40.465
179,41.375
180,41.82
181,41.603
182,41.217
183,41.81
184,41.771
185,42.394
186,42.839
187,43.057
188,43.67
189,43.591
190,43.858
191,43.274
192,43.215
193,44.066
194,43.907
195,44.253
196,43.581
197,45.569
198,45.955
199,45.49
200,45.856
201,45.965
202,45.5
203,45.925
204,45.915
205,46.41
206,46.865
207,47.082
208,46.558
209,46.291
210,47.389
211,47.577
212,47.32
213,46.588
214,46.538
215,46.568
216,46.835
217,46.509
218,47.102
219,47.58
220,47.44
221,46.59
222,45.7
223,45.48
224,45.52
225,46.2
226,45.83
227,46.47
228,46.57
229,45.89
230,46.32
231,45.84
232,45.83
233,46.5
234,46.33
235,47.31
236,47.61
237,47.46
238,47.95
239,48.35
240,48.45
241,48.42
242,47.9
243,47.95
244,48.51
245,48.54
246,48.66
247,48.53
248,48.61
249,48.48
250,47.91
251,48.26
252,48.69
253,48.66
254,47.9
255,47.77
256,47.92
257,47.51
258,47.3
259,47.55
260,48.08
261,47.89
262,47.93
263,47.6
264,47.67
