Idx,price
0,45.87
1,45.89
2,46.16
3,45.53
4,45.38
5,44.93
6,45.09
7,45.68
8,45.06
9,44.17
10,43.4
11,44.92
12,44.93
13,44.6
14,44.6
15,44.35
16,43.87
17,42.68
18,44.1
19,43.75
20,42.61
21,43.29
22,42.49
23,41.5
24,40.18
25,40.92
26,42.61
27,42.49
28,42.09
29,42.78
30,43.31
31,44.35
32,44.43
33,44.75
34,43.88
35,44.41
36,43.57
37,44.27
38,44.25
39,44.6
40,45.38
41,44.87
42,44.57
43,45.41
44,46.44
45,45.98
46,45.58
47,45.51
48,45.86
49,45.52
50,45.09
51,45.01
52,44.66
53,44.68
54,44.18
55,44.72
56,44.7
57,44.2
58,44.2
59,43.86
60,43.94
61,44.57
62,43.64
63,43.89
64,43.94
65,43.86
66,42.62
67,42.1
68,41.37
69,41.05
70,40.61
71,40.42
72,40.47
73,40.29
74,41.52
75,40.5
76,40.77
77,40.96
78,41.27
79,40.94
80,40.72
81,41.08
82,41.36
83,41.43
84,41.44
85,42.37
86,41.37
87,41.4
88,41.45
89,40.99
90,40.73
91,40.25
92,39.51
93,39.7
94,40.01
95,38.88
96,38.78
97,39.63
98,38.95
99,39.37
100,39.94
101,39.63
102,39.14
103,39.39
104,39.37
105,39.48
106,39.49
107,40.15
108,40.3
109,40.2
110,40.08
111,39.97
112,39.53
113,39.68
114,40.21
115,40.0
116,40.74
117,40.31
118,41.29
119,41.12
120,41.07
121,40.51
122,41.37
123,42.04
124,42.68
125,42.99
126,43.28
127,43.25
128,43.05
129,42.81
130,43.11
131,42.94
132,43.75
133,43.26
134,43.71
135,43.7
136,44.09
137,44.09
138,43.99
139,43.3
140,42.7
141,43.15
142,43.36
143,43.16
144,42.61
145,42.69
146,43.26
147,43.02
148,43.3
149,42.87
150,42.91
151,43.61
152,43.79
153,43.77
154,44.42
155,43.5
156,44.08
157,43.61
158,43.13
159,43.56
160,43.42
161,42.93
162,42.49
163,41.58
164,40.83
165,40.72
166,41.36
167,40.46
168,40.78
169,40.97
170,41.72
171,41.62
172,41.08
173,40.4
174,40.85
175,40.38
176,40.54
177,40.81
178,40.32
179,41.22
180,41.13
181,40.74
182,41.14
183,41.73
184,41.77
185,41.85
186,42.27
187,41.84
188,42.34
189,42.2
190,42.42
191,41.92
192,42.17
193,43.06
194,43.11
195,43.46
196,42.83
197,44.01
198,44.03
199,43.48
200,43.66
201,43.12
202,42.94
203,42.93
204,42.61
205,42.9
206,42.84
207,43.27
208,43.18
209,43.55
210,44.24
211,44.23
212,44.0
213,43.45
214,43.14
215,43.23
216,43.35
217,42.78
218,42.95
219,43.21
220,43.06
221,42.28
222,42.2
223,42.52
224,42.53
225,42.13
226,41.68
227,41.19
228,41.79
229,41.81
230,42.23
231,41.74
232,41.9
233,41.86
234,41.56
235,42.08
236,42.17
237,42.16
238,42.19
239,42.46
240,42.46
241,42.47
242,42.46
243,42.51
244,42.68
245,42.52
246,42.13
247,41.76
248,41.92
249,40.85
250,40.78
251,40.99
252,40.17
253,40.19
254,40.06
255,40.01
256,39.94
257,40.53
258,40.27
259,40.34
260,40.07
261,40.06
262,40.48
263,40.46
264,40.32
