Idx,price
0,9.168
1,9.265
2,9.298
3,9.35
4,9.162
5,9.232
6,9.252
7,9.408
8,9.432
9,9.35
10,9.145
11,9.252
12,9.25
13,9.19
14,9.082
15,9.012
16,9.039
17,8.935
18,8.692
19,9.072
20,9.088
21,8.89
22,9.135
23,9.089
24,8.941
25,8.902
26,8.725
27,8.892
28,8.728
29,8.822
30,8.72
31,8.768
32,8.968
33,9.018
34,9.048
35,9.09
36,9.15
37,9.112
38,9.132
39,9.208
40,9.168
41,9.31
42,9.32
43,9.205
44,9.04
45,9.072
46,9.052
47,8.91
48,8.858
49,9.041
50,9.035
51,9.066
52,9.038
53,9.059
54,9.108
55,9.22
56,9.242
57,8.98
58,8.725
59,8.792
60,8.72
61,8.72
62,8.726
63,8.78
64,8.728
65,8.808
66,8.75
67,8.558
68,8.488
69,8.598
70,8.395
71,8.59
72,8.572
73,8.775
74,8.6
75,8.398
76,8.318
77,8.551
78,8.385
79,8.572
80,8.772
81,8.875
82,8.979
83,8.855
84,8.775
85,8.821
86,8.788
87,8.822
88,8.656
89,8.309
90,8.012
91,7.976
92,8.023
93,7.745
94,7.705
95,7.81
96,7.89
97,7.902
98,7.86
99,8.106
100,8.192
101,8.141
102,7.95
103,7.928
104,7.855
105,7.939
106,7.752
107,7.832
108,8.025
109,8.085
110,7.982
111,8.03
112,7.892
113,7.759
114,7.988
115,8.084
116,8.162
117,8.22
118,8.162
119,8.191
120,8.194
121,8.142
122,8.155
123,8.296
124,8.29
125,8.4
126,8.345
127,8.362
128,8.355
129,8.276
130,8.381
131,8.285
132,8.446
133,8.551
134,8.588
135,8.605
136,8.676
137,8.55
138,8.624
139,8.555
140,8.418
141,8.399
142,8.409
143,8.479
144,8.365
145,8.178
146,8.126
147,8.015
148,8.192
149,8.052
150,8.018
151,8.002
152,8.105
153,8.226
154,8.364
155,8.116
156,7.974
157,7.978
158,7.845
159,7.782
160,7.835
161,7.606
162,7.404
163,7.351
164,7.328
165,7.395
166,7.295
167,7.344
168,7.408
169,7.678
170,7.596
171,7.651
172,7.452
173,7.354
174,7.378
175,7.352
176,7.434
177,7.464
178,7.516
179,7.538
180,7.568
181,7.629
182,7.658
183,7.828
184,7.948
185,8.092
186,8.06
187,8.135
188,8.158
189,8.181
190,8.165
191,7.972
192,8.014
193,8.12
194,8.24
195,8.132
196,8.37
197,8.384
198,8.49
199,8.525
200,8.371
201,8.245
202,8.38
203,8.328
204,8.46
205,8.515
206,8.546
207,8.551
208,8.446
209,8.399
210,8.408
211,8.591
212,8.524
213,8.462
214,8.335
215,8.318
216,8.372
217,8.385
218,8.352
219,8.526
220,8.532
221,8.23
222,8.108
223,8.088
224,8.015
225,8.155
226,7.988
227,8.062
228,8.018
229,8.085
230,8.055
231,8.081
232,8.242
233,8.132
234,8.328
235,8.445
236,8.35
237,8.424
238,8.48
239,8.469
240,8.506
241,8.45
242,8.4
243,8.22
244,8.31
245,8.488
246,8.508
247,8.458
248,8.522
249,8.585
250,8.574
251,8.578
252,8.62
253,8.82
254,8.785
255,8.63
256,8.6
257,8.615
258,8.655
259,8.592
260,8.645
261,8.632
262,8.675
263,8.688
264,8.575
