Idx,price
0,198.372
1,200.461
2,198.47
3,194.714
4,195.552
5,196.518
6,199.87
7,203.665
8,200.54
9,198.51
10,197.82
11,203.123
12,203.547
13,198.332
14,196.627
15,193.857
16,190.229
17,195.217
18,199.614
19,200.422
20,196.646
21,201.329
22,198.943
23,195.828
24,190.959
25,192.013
26,197.425
27,197.07
28,193.926
29,189.963
30,192.989
31,199.062
32,202.186
33,204.316
34,202.512
35,204.542
36,200.994
37,203.304
38,203.581
39,203.65
40,209.102
41,204.904
42,202.741
43,205.013
44,205.349
45,200.49
46,197.645
47,197.003
48,195.433
49,194.119
50,194.731
51,198.435
52,196.509
53,195.186
54,199.077
55,199.838
56,195.363
57,190.306
58,191.462
59,185.427
60,184.657
61,188.104
62,182.672
63,184.588
64,186.168
65,191.136
66,183.383
67,180.331
68,172.746
69,172.795
70,168.498
71,170.474
72,175.876
73,175.037
74,180.39
75,174.069
76,174.356
77,173.911
78,176.015
79,173.407
80,176.528
81,180.469
82,185.329
83,183.027
84,181.99
85,186.435
86,184.756
87,185.556
88,188.548
89,185.635
90,181.787
91,176.855
92,168.546
93,167.734
94,170.19
95,162.308
96,163.575
97,166.506
98,166.19
99,168.18
100,173.389
101,174.033
102,170.765
103,169.032
104,167.715
105,169.745
106,171.151
107,169.883
108,173.904
109,173.884
110,170.388
111,169.804
112,169.656
113,167.913
114,171.408
115,170.923
116,176.954
117,179.727
118,180.648
119,177.766
120,178.687
121,177.588
122,181.628
123,184.124
124,185.431
125,185.362
126,185.183
127,187.906
128,187.51
129,188.946
130,190.947
131,188.342
132,193.72
133,194.442
134,198.414
135,199.117
136,199.037
137,195.69
138,196.988
139,192.759
140,188.788
141,189.095
142,190.541
143,193.502
144,187.144
145,185.421
146,182.826
147,181.717
148,179.737
149,178.34
150,176.578
151,180.42
152,181.925
153,185.579
154,187.827
155,180.479
156,181.182
157,179.865
158,177.251
159,178.766
160,176.33
161,173.636
162,169.725
163,165.685
164,163.416
165,163.974
166,169.16
167,165.368
168,164.163
169,168.513
170,175.192
171,173.898
172,172.923
173,167.836
174,166.9
175,166.95
176,166.492
177,170.613
178,166.044
179,171.34
180,173.371
181,170.424
182,168.254
183,171.907
184,172.644
185,177.352
186,178.228
187,178.268
188,182.319
189,182.488
190,182.737
191,176.675
192,175.491
193,177.86
194,178.666
195,178.736
196,173.828
197,184.529
198,186.042
199,183.962
200,186.689
201,183.404
202,181.702
203,182.877
204,181.921
205,183.862
206,184.34
207,184.728
208,181.005
209,181.533
210,186.51
211,186.102
212,187.187
213,182.031
214,179.244
215,178.716
216,180.01
217,177.8
218,179.89
219,181.38
220,180.19
221,175.68
222,174.37
223,172.01
224,172.92
225,175.9
226,173.6
227,174.39
228,173.22
229,170.53
230,174.85
231,174.36
232,173.4
233,175.56
234,173.68
235,177.58
236,177.88
237,180.51
238,182.76
239,185.83
240,187.05
241,186.82
242,183.8
243,182.04
244,185.04
245,187.33
246,186.93
247,187.45
248,188.56
249,189.58
250,186.94
251,191.48
252,194.49
253,198.32
254,196.99
255,194.14
256,195.58
257,192.72
258,189.93
259,190.31
260,192.6
261,192.51
262,194.46
263,192.6
264,193.13
