Idx,price
0,59.104
1,59.283
2,59.72
3,57.933
4,58.211
5,57.784
6,58.518
7,59.789
8,58.3
9,56.642
10,56.384
11,58.102
12,58.092
13,56.255
14,55.729
15,55.193
16,53.873
17,55.421
18,56.235
19,56.086
20,54.935
21,56.047
22,55.282
23,54.101
24,51.987
25,51.957
26,54.101
27,53.178
28,52.155
29,51.312
30,52.84
31,54.885
32,55.203
33,56.384
34,56.116
35,56.861
36,56.086
37,57.526
38,57.307
39,57.963
40,59.233
41,58.429
42,57.585
43,57.337
44,58.35
45,57.188
46,55.66
47,55.709
48,54.925
49,53.595
50,53.396
51,54.389
52,53.049
53,53.108
54,54.061
55,53.962
56,53.128
57,51.679
58,52.364
59,50.349
60,50.944
61,52.89
62,50.914
63,51.619
64,51.798
65,53.476
66,50.934
67,50.438
68,48.552
69,49.277
70,47.817
71,47.42
72,49.088
73,48.582
74,50.071
75,47.807
76,47.43
77,47.539
78,48.651
79,47.827
80,48.363
81,49.386
82,50.974
83,50.686
84,50.408
85,51.669
86,50.388
87,50.428
88,50.924
89,50.339
90,49.009
91,47.186
92,45.134
93,45.374
94,46.29
95,44.427
96,44.836
97,45.862
98,45.543
99,46.14
100,47.764
101,47.455
102,46.111
103,46.091
104,45.523
105,45.393
106,45.762
107,46.17
108,47.196
109,47.296
110,46.509
111,46.031
112,46.001
113,46.32
114,47.176
115,46.798
116,48.192
117,48.88
118,49.647
119,49.029
120,48.74
121,47.914
122,49.936
123,50.643
124,51.29
125,51.181
126,50.782
127,52.107
128,52.426
129,52.257
130,51.828
131,51.211
132,52.645
133,52.416
134,53.442
135,53.671
136,53.512
137,53.103
138,53.362
139,52.296
140,50.862
141,50.782
142,50.792
143,51.669
144,49.517
145,48.86
146,48.372
147,48.063
148,47.645
149,47.047
150,46.798
151,47.426
152,47.525
153,48.541
154,49.298
155,46.718
156,47.007
157,45.872
158,45.662
159,46.041
160,45.722
161,45.025
162,44.487
163,43.83
164,43.56
165,43.61
166,44.029
167,42.794
168,42.016
169,43.331
170,44.915
171,45.065
172,44.676
173,42.883
174,42.206
175,41.518
176,41.399
177,42.674
178,41.439
179,42.714
180,43.062
181,42.843
182,42.893
183,44.039
184,44.567
185,45.453
186,44.636
187,44.108
188,45.852
189,45.244
190,44.965
191,43.461
192,42.325
193,43.212
194,43.919
195,44.427
196,43.381
197,46.927
198,47.993
199,47.525
200,48.163
201,47.515
202,47.575
203,47.645
204,47.097
205,47.884
206,48.312
207,48.043
208,47.037
209,46.678
210,48.91
211,49.029
212,48.72
213,47.944
214,46.927
215,46.728
216,47.396
217,47.176
218,48.043
219,48.64
220,48.24
221,46.42
222,45.88
223,45.31
224,45.35
225,46.02
226,44.92
227,44.94
228,44.52
229,43.78
230,44.95
231,44.83
232,44.48
233,44.77
234,43.97
235,45.4
236,45.98
237,46.23
238,47.02
239,47.46
240,47.66
241,47.79
242,47.26
243,46.78
244,47.99
245,49.1
246,48.98
247,48.93
248,49.7
249,49.88
250,48.93
251,49.58
252,50.73
253,52.06
254,51.48
255,50.74
256,51.87
257,51.34
258,51.19
259,50.84
260,51.67
261,51.92
262,51.97
263,51.09
264,50.5
