Idx,price
0,5.76
1,5.764
2,5.805
3,5.769
4,5.735
5,5.728
6,5.695
7,5.734
8,5.699
9,5.651
10,5.643
11,5.672
12,5.676
13,5.664
14,5.646
15,5.6
16,5.616
17,5.532
18,5.354
19,5.516
20,5.437
21,5.382
22,5.385
23,5.322
24,5.234
25,5.196
26,5.195
27,5.289
28,5.262
29,5.267
30,5.236
31,5.25
32,5.317
33,5.392
34,5.377
35,5.322
36,5.283
37,5.275
38,5.278
39,5.268
40,5.312
41,5.393
42,5.397
43,5.395
44,5.394
45,5.417
46,5.382
47,5.318
48,5.3
49,5.282
50,5.218
51,5.237
52,5.252
53,5.209
54,5.17
55,5.186
56,5.177
57,5.134
58,5.128
59,5.136
60,5.112
61,5.09
62,5.066
63,5.042
64,5.032
65,5.008
66,4.989
67,4.935
68,4.952
69,4.97
70,4.967
71,4.986
72,4.962
73,4.956
74,4.94
75,4.958
76,4.959
77,4.988
78,5.004
79,5.046
80,5.068
81,5.111
82,5.1
83,5.064
84,5.047
85,5.025
86,5.04
87,5.012
88,4.97
89,4.9
90,4.726
91,4.751
92,4.796
93,4.769
94,4.793
95,4.784
96,4.796
97,4.798
98,4.807
99,4.827
100,4.792
101,4.726
102,4.728
103,4.728
104,4.804
105,4.788
106,4.774
107,4.749
108,4.768
109,4.738
110,4.73
111,4.684
112,4.641
113,4.612
114,4.642
115,4.656
116,4.685
117,4.729
118,4.756
119,4.808
120,4.811
121,4.788
122,4.806
123,4.885
124,4.934
125,4.956
126,4.917
127,4.919
128,4.984
129,4.933
130,5.034
131,4.984
132,5.058
133,5.072
134,5.049
135,5.064
136,5.023
137,4.952
138,4.96
139,4.896
140,4.849
141,4.91
142,4.912
143,4.919
144,4.906
145,4.818
146,4.817
147,4.765
148,4.844
149,4.801
150,4.778
151,4.79
152,4.831
153,4.869
154,4.882
155,4.803
156,4.798
157,4.788
158,4.756
159,4.726
160,4.732
161,4.674
162,4.61
163,4.55
164,4.506
165,4.501
166,4.474
167,4.498
168,4.574
169,4.632
170,4.561
171,4.564
172,4.52
173,4.47
174,4.49
175,4.458
176,4.442
177,4.412
178,4.452
179,4.446
180,4.426
181,4.404
182,4.375
183,4.412
184,4.478
185,4.534
186,4.546
187,4.545
188,4.488
189,4.55
190,4.544
191,4.498
192,4.56
193,4.582
194,4.61
195,4.586
196,4.728
197,4.734
198,4.726
199,4.792
200,4.798
201,4.762
202,4.752
203,4.772
204,4.796
205,4.83
206,4.862
207,4.87
208,4.858
209,4.862
210,4.87
211,4.971
212,4.972
213,4.952
214,4.91
215,4.942
216,4.972
217,4.963
218,4.943
219,5.02
220,4.999
221,4.954
222,4.93
223,4.91
224,4.876
225,4.936
226,4.926
227,4.914
228,4.858
229,4.884
230,4.867
231,4.897
232,4.938
233,4.894
234,4.958
235,4.986
236,4.932
237,4.996
238,5.017
239,5.053
240,5.015
241,5.043
242,5.097
243,5.086
244,5.07
245,5.084
246,5.085
247,5.08
248,5.088
249,5.098
250,5.058
251,5.046
252,5.078
253,5.164
254,5.112
255,5.048
256,5.029
257,5.011
258,5.029
259,4.946
260,4.966
261,4.957
262,4.954
263,4.944
264,4.907
