Idx,price
0,123.851
1,124.057
2,124.067
3,123.066
4,121.843
5,122.066
6,121.61
7,122.018
8,120.357
9,121.25
10,120.172
11,119.57
12,119.745
13,119.832
14,120.124
15,119.968
16,118.88
17,119.444
18,119.929
19,121.212
20,121.626
21,119.777
22,120.214
23,120.331
24,118.872
25,118.161
26,118.365
27,117.013
28,116.964
29,115.27
30,116.176
31,117.168
32,118.317
33,118.55
34,116.906
35,116.623
36,116.954
37,117.003
38,116.078
39,116.721
40,117.704
41,117.976
42,117.704
43,118.098
44,118.508
45,116.431
46,115.748
47,115.212
48,114.304
49,113.193
50,113.271
51,113.856
52,112.529
53,111.671
54,110.784
55,111.934
56,110.745
57,110.618
58,111.847
59,111.788
60,110.715
61,111.047
62,109.818
63,109.167
64,109.87
65,110.946
66,109.245
67,108.316
68,108.698
69,109.157
70,109.665
71,109.714
72,109.137
73,109.284
74,108.658
75,109.059
76,109.352
77,109.89
78,109.499
79,110.936
80,112.08
81,112.109
82,112.695
83,111.865
84,111.212
85,111.261
86,110.908
87,110.124
88,110.712
89,110.075
90,109.35
91,108.292
92,105.793
93,105.244
94,106.891
95,107.008
96,107.224
97,106.146
98,106.92
99,107.743
100,107.87
101,106.881
102,106.851
103,107.488
104,107.812
105,109.174
106,109.145
107,108.604
108,108.595
109,108.418
110,108.722
111,108.88
112,109.695
113,108.998
114,109.872
115,109.106
116,109.41
117,109.292
118,110.786
119,111.64
120,110.697
121,110.678
122,111.414
123,112.338
124,112.603
125,112.826
126,111.447
127,112.658
128,112.836
129,111.309
130,111.752
131,111.25
132,112.304
133,111.22
134,112.511
135,112.432
136,111.998
137,110.945
138,111.23
139,109.91
140,109.172
141,109.29
142,108.965
143,110.088
144,109.428
145,108.62
146,108.758
147,107.616
148,106.968
149,107.047
150,105.595
151,107.037
152,106.79
153,107.037
154,106.8
155,106.03
156,106.534
157,106.02
158,105.773
159,105.951
160,104.894
161,105.289
162,103.808
163,103.512
164,101.714
165,100.183
166,102.198
167,101.438
168,101.181
169,103.053
170,103.528
171,102.746
172,102.508
173,101.487
174,100.576
175,100.368
176,100.249
177,100.427
178,99.466
179,99.941
180,100.536
181,99.159
182,98.296
183,98.574
184,98.524
185,99.842
186,100.298
187,100.764
188,100.972
189,100.427
190,101.15
191,100.662
192,100.305
193,100.504
194,100.136
195,100.553
196,100.295
197,103.654
198,103.932
199,103.406
200,104.847
201,105.741
202,105.175
203,105.165
204,105.006
205,105.94
206,107.004
207,107.113
208,106.338
209,105.811
210,107.103
211,108.097
212,108.753
213,107.829
214,108.157
215,109.359
216,109.011
217,108.196
218,108.057
219,109.001
220,109.101
221,109.192
222,108.724
223,107.627
224,106.361
225,107.089
226,107.059
227,106.73
228,105.354
229,105.025
230,105.773
231,105.105
232,105.832
233,106.6
234,106.52
235,108.265
236,108.694
237,108.325
238,109.252
239,110.488
240,110.129
241,109.73
242,111.016
243,110.787
244,110.209
245,109.89
246,110.468
247,110.518
248,110.478
249,110.159
250,109.74
251,110.528
252,111.65
253,111.81
254,110.54
255,109.69
256,109.33
257,109.44
258,108.52
259,107.76
260,108.16
261,107.89
262,107.48
263,106.62
264,107.04
