Idx,price
0,313.26
1,319.0
2,323.0
3,237.76
4,237.09
5,224.91
6,220.18
7,232.0
8,228.07
9,219.55
10,217.7
11,221.0
12,216.54
13,207.71
14,206.16
15,202.08
16,198.45
17,207.6
18,210.48
19,211.03
20,203.49
21,208.11
22,202.97
23,200.06
24,187.47
25,190.29
26,198.5
27,195.21
28,187.61
29,186.63
30,192.03
31,203.63
32,207.84
33,216.49
34,211.49
35,216.65
36,213.46
37,219.57
38,221.82
39,223.59
40,229.86
41,227.85
42,222.36
43,224.85
44,233.89
45,231.84
46,223.3
47,222.95
48,222.33
49,216.46
50,214.14
51,214.99
52,210.18
53,210.77
54,217.31
55,200.42
56,188.07
57,184.11
58,186.99
59,180.95
60,174.95
61,205.73
62,200.47
63,211.13
64,212.03
65,223.41
66,208.28
67,203.77
68,196.21
69,197.65
70,188.74
71,191.24
72,198.62
73,200.04
74,202.62
75,192.24
76,191.29
77,193.54
78,196.23
79,181.28
80,183.83
81,191.63
82,195.13
83,193.64
84,188.64
85,198.86
86,190.78
87,194.25
88,195.65
89,196.64
90,184.0
91,175.57
92,164.26
93,163.73
94,169.35
95,160.87
96,163.74
97,157.05
98,155.85
99,158.75
100,170.16
101,169.49
102,160.68
103,163.94
104,161.25
105,160.03
106,168.19
107,169.77
108,172.19
109,170.88
110,162.88
111,163.27
112,163.49
113,158.05
114,164.7
115,167.23
116,175.78
117,183.09
118,183.17
119,169.27
120,166.65
121,159.15
122,169.58
123,160.72
124,159.1
125,159.93
126,160.19
127,168.8
128,170.57
129,167.11
130,170.25
131,168.53
132,178.34
133,177.49
134,180.5
135,180.89
136,179.47
137,174.85
138,174.66
139,167.96
140,163.05
141,161.11
142,163.26
143,168.78
144,161.78
145,159.17
146,157.16
147,162.93
148,165.36
149,160.32
150,158.54
151,160.39
152,162.06
153,169.15
154,168.96
155,153.13
156,151.47
157,149.55
158,146.29
159,148.02
160,146.09
161,142.12
162,142.82
163,140.41
164,136.37
165,134.4
166,141.61
167,136.41
168,135.68
169,138.61
170,140.28
171,138.98
172,139.07
173,133.45
174,133.79
175,128.54
176,127.5
177,130.29
178,126.76
179,134.04
180,132.8
181,133.23
182,131.53
183,130.01
184,129.72
185,137.51
186,129.82
187,97.94
188,99.2
189,93.16
190,95.2
191,90.54
192,88.91
193,90.79
194,96.72
195,96.47
196,101.47
197,111.87
198,113.02
199,114.22
200,117.08
201,113.23
202,111.45
203,112.05
204,109.86
205,111.44
206,112.24
207,111.41
208,108.78
209,109.46
210,118.1
211,120.44
212,123.49
213,122.43
214,114.12
215,113.93
216,115.33
217,115.9
218,114.71
219,120.15
220,121.59
221,116.15
222,119.43
223,114.48
224,117.09
225,119.76
226,117.12
227,118.04
228,116.88
229,115.62
230,120.26
231,120.34
232,124.74
233,127.37
234,126.94
235,130.02
236,129.47
237,132.99
238,132.89
239,136.71
240,136.98
241,135.36
242,133.02
243,136.15
244,139.37
245,143.27
246,143.14
247,141.5
248,147.3
249,151.74
250,147.06
251,148.97
252,153.12
253,188.77
254,186.53
255,186.06
256,191.62
257,183.43
258,177.92
259,174.15
260,179.43
261,179.48
262,177.16
263,172.44
264,172.88
