Idx,price
0,53.73
1,54.08
2,54.375
3,53.36
4,52.64
5,52.76
6,52.68
7,53.19
8,53.025
9,52.73
10,52.18
11,52.72
12,52.7
13,52.49
14,52.33
15,51.73
16,51.615
17,51.78
18,50.56
19,52.02
20,52.41
21,52.045
22,51.87
23,51.135
24,50.07
25,49.725
26,48.725
27,50.6
28,49.932
29,50.26
30,50.865
31,50.815
32,51.955
33,52.33
34,52.7
35,52.76
36,52.98
37,52.555
38,52.695
39,52.7
40,53.04
41,53.545
42,53.75
43,53.36
44,53.59
45,54.04
46,54.61
47,54.22
48,54.46
49,54.965
50,54.705
51,54.42
52,54.12
53,54.56
54,53.92
55,54.12
56,54.05
57,53.37
58,53.05
59,52.74
60,53.23
61,53.5
62,53.77
63,53.24
64,52.605
65,52.5
66,51.24
67,50.05
68,50.465
69,50.83
70,50.685
71,51.52
72,51.585
73,51.895
74,51.34
75,50.69
76,51.26
77,51.57
78,51.315
79,51.51
80,51.76
81,52.15
82,52.305
83,51.89
84,51.26
85,51.775
86,51.475
87,51.01
88,50.58
89,49.69
90,49.0
91,48.17
92,48.72
93,48.08
94,48.065
95,48.402
96,48.388
97,48.252
98,48.31
99,49.65
100,49.828
101,49.838
102,49.835
103,49.36
104,49.675
105,50.05
106,49.575
107,50.38
108,50.85
109,50.82
110,50.875
111,51.0
112,50.64
113,49.922
114,50.47
115,50.565
116,51.06
117,50.72
118,50.835
119,51.21
120,51.175
121,51.46
122,51.47
123,51.8
124,52.36
125,52.25
126,52.18
127,52.04
128,52.055
129,51.72
130,52.005
131,51.915
132,52.24
133,52.165
134,52.105
135,52.385
136,52.455
137,52.18
138,52.41
139,52.3
140,52.095
141,51.595
142,51.76
143,51.84
144,51.035
145,50.15
146,49.668
147,48.892
148,49.62
149,49.392
150,49.518
151,49.408
152,49.415
153,49.998
154,50.68
155,50.05
156,49.49
157,49.178
158,48.552
159,47.805
160,48.195
161,47.308
162,46.575
163,46.342
164,46.368
165,46.518
166,45.875
167,46.202
168,46.428
169,47.55
170,47.028
171,46.718
172,46.245
173,46.19
174,46.042
175,45.87
176,45.728
177,46.205
178,46.998
179,47.252
180,46.87
181,46.865
182,46.485
183,47.058
184,47.79
185,48.01
186,47.965
187,48.055
188,48.272
189,48.262
190,48.2
191,47.718
192,48.402
193,48.342
194,48.808
195,49.055
196,50.395
197,50.02
198,50.095
199,50.105
200,49.84
201,49.562
202,50.065
203,50.285
204,50.465
205,50.7
206,50.96
207,50.98
208,50.69
209,50.375
210,50.645
211,51.045
212,51.06
213,50.75
214,50.475
215,50.475
216,50.33
217,50.645
218,50.465
219,50.73
220,50.93
221,49.825
222,49.195
223,49.38
224,49.095
225,49.792
226,49.538
227,49.508
228,49.525
229,49.768
230,49.448
231,50.0
232,50.59
233,50.37
234,50.8
235,51.12
236,50.815
237,50.895
238,51.085
239,51.165
240,51.415
241,51.605
242,51.56
243,51.22
244,51.24
245,51.285
246,51.105
247,50.93
248,51.0
249,50.96
250,51.105
251,51.0
252,50.845
253,51.26
254,51.365
255,51.235
256,51.215
257,51.51
258,51.56
259,51.1
260,51.575
261,51.705
262,51.95
263,51.96
264,52.01
