Idx,price
0,156.426
1,155.734
2,158.522
3,160.023
4,157.479
5,156.299
6,155.948
7,155.597
8,153.228
9,152.37
10,152.809
11,152.887
12,154.047
13,155.812
14,155.89
15,153.969
16,152.048
17,147.954
18,154.271
19,151.98
20,149.465
21,149.933
22,150.488
23,151.249
24,149.007
25,143.108
26,145.039
27,141.305
28,139.628
29,141.412
30,146.501
31,146.004
32,146.462
33,146.384
34,146.94
35,148.071
36,147.037
37,147.291
38,148.997
39,150.02
40,151.561
41,150.518
42,148.968
43,151.2
44,150.216
45,150.742
46,152.896
47,154.876
48,156.084
49,155.49
50,155.022
51,155.46
52,154.593
53,153.121
54,155.412
55,159.545
56,159.421
57,158.088
58,159.362
59,156.656
60,156.235
61,160.206
62,157.402
63,155.274
64,153.147
65,154.274
66,151.431
67,152.941
68,152.558
69,151.755
70,149.617
71,149.01
72,150.608
73,152.078
74,151.647
75,142.196
76,138.921
77,139.01
78,142.206
79,144.735
80,142.362
81,143.608
82,145.804
83,144.98
84,142.784
85,144.323
86,143.029
87,142.47
88,144.058
89,142.264
90,139.696
91,139.166
92,135.441
93,131.215
94,129.911
95,130.706
96,129.764
97,133.696
98,135.784
99,139.51
100,141.519
101,140.441
102,138.157
103,139.412
104,140.97
105,143.245
106,141.862
107,143.186
108,143.137
109,142.176
110,143.176
111,141.912
112,142.843
113,142.421
114,142.225
115,140.5
116,141.215
117,138.774
118,138.906
119,141.126
120,142.083
121,142.359
122,143.711
123,146.099
124,137.07
125,141.008
126,140.07
127,142.961
128,142.734
129,142.803
130,143.346
131,143.011
132,144.362
133,143.336
134,144.728
135,146.593
136,147.944
137,147.264
138,147.787
139,147.747
140,147.352
141,144.51
142,143.889
143,143.77
144,140.406
145,139.814
146,138.324
147,136.113
148,137.791
149,135.344
150,133.834
151,135.857
152,136.034
153,138.106
154,139.231
155,136.35
156,136.676
157,135.62
158,136.449
159,136.163
160,135.679
161,133.932
162,134.406
163,133.784
164,133.913
165,130.232
166,130.232
167,126.996
168,124.578
169,126.808
170,128.377
171,127.489
172,124.805
173,122.624
174,122.121
175,122.585
176,122.782
177,124.637
178,123.424
179,125.654
180,126.67
181,127.844
182,126.198
183,127.778
184,128.563
185,130.044
186,130.958
187,131.057
188,134.376
189,133.83
190,134.039
191,132.111
192,131.206
193,133.601
194,135.648
195,135.957
196,135.629
197,140.299
198,140.091
199,140.101
200,139.614
201,140.856
202,139.991
203,141.681
204,143.479
205,144.712
206,145.536
207,145.805
208,145.686
209,144.572
210,148.23
211,148.319
212,149.67
213,148.16
214,148.349
215,149.303
216,150.376
217,149.979
218,151.519
219,151.29
220,151.887
221,150.167
222,149.502
223,149.462
224,149.521
225,150.893
226,151.241
227,151.668
228,152.99
229,151.012
230,151.638
231,150.615
232,150.624
233,151.28
234,149.402
235,152.96
236,151.092
237,150.942
238,149.72
239,148.876
240,149.939
241,149.502
242,145.497
243,142.42
244,142.97
245,141.05
246,141.82
247,141.72
248,141.15
249,140.57
250,141.01
251,142.38
252,143.19
253,142.17
254,142.61
255,141.4
256,140.02
257,138.57
258,137.05
259,138.26
260,140.07
261,139.28
262,138.96
263,137.14
264,140.01
