Idx,price
0,106.638
1,108.645
2,109.725
3,108.378
4,113.109
5,113.998
6,115.967
7,115.833
8,116.014
9,114.562
10,111.8
11,113.924
12,114.079
13,110.304
14,110.13
15,108.865
16,107.06
17,105.187
18,108.904
19,107.803
20,102.126
21,105.592
22,105.757
23,102.754
24,98.525
25,100.118
26,103.198
27,102.484
28,102.387
29,105.486
30,105.998
31,110.024
32,111.414
33,111.25
34,112.08
35,114.89
36,112.901
37,115.044
38,116.686
39,115.913
40,116.686
41,116.145
42,114.089
43,114.311
44,112.36
45,112.814
46,112.698
47,110.69
48,112.679
49,112.476
50,111.559
51,112.283
52,113.191
53,114.407
54,115.295
55,116.879
56,115.72
57,111.829
58,110.053
59,106.577
60,106.964
61,108.248
62,104.762
63,104.666
64,105.94
65,107.716
66,104.019
67,102.995
68,101.48
69,100.649
70,99.491
71,96.701
72,97.695
73,97.541
74,100.369
75,98.081
76,96.141
77,95.291
78,99.103
79,98.604
80,99.845
81,102.191
82,103.862
83,103.843
84,102.934
85,103.354
86,101.605
87,102.944
88,103.804
89,102.709
90,100.246
91,96.161
92,92.115
93,92.007
94,92.701
95,89.261
96,89.368
97,91.773
98,91.059
99,90.394
100,95.203
101,94.754
102,95.467
103,94.148
104,93.512
105,95.213
106,93.17
107,92.672
108,94.411
109,94.128
110,93.923
111,93.845
112,91.186
113,88.391
114,90.238
115,90.561
116,93.014
117,93.649
118,93.893
119,93.346
120,94.675
121,93.874
122,95.428
123,95.877
124,97.725
125,97.392
126,95.77
127,94.617
128,93.776
129,94.324
130,95.096
131,96.347
132,99.347
133,100.657
134,103.1
135,102.445
136,102.797
137,102.201
138,103.032
139,101.057
140,98.002
141,98.219
142,98.388
143,100.246
144,97.418
145,96.884
146,95.945
147,94.68
148,93.908
149,93.829
150,93.127
151,94.709
152,95.866
153,97.379
154,98.645
155,94.719
156,93.028
157,91.505
158,90.892
159,93.374
160,91.98
161,90.843
162,89.963
163,87.688
164,86.364
165,86.205
166,87.332
167,85.335
168,84.821
169,88.193
170,93.186
171,92.702
172,91.911
173,90.062
174,90.131
175,89.824
176,89.182
177,94.037
178,93.612
179,94.818
180,96.252
181,95.342
182,94.136
183,97.191
184,99.001
185,100.266
186,100.009
187,100.682
188,104.093
189,104.014
190,104.815
191,104.113
192,100.692
193,103.885
194,102.056
195,102.145
196,101.275
197,106.516
198,108.978
199,107.02
200,106.704
201,106.535
202,105.596
203,106.13
204,106.98
205,108.56
206,107.06
207,107.77
208,105.55
209,106.59
210,108.03
211,107.73
212,107.68
213,104.74
214,103.29
215,102.63
216,101.6
217,101.37
218,102.56
219,103.22
220,102.07
221,99.75
222,97.87
223,97.12
224,98.25
225,100.36
226,98.66
227,99.56
228,99.35
229,98.37
230,99.88
231,99.46
232,99.48
233,101.18
234,99.44
235,101.01
236,98.26
237,99.35
238,100.0
239,99.6
240,101.0
241,101.08
242,98.57
243,96.94
244,98.63
245,99.99
246,100.88
247,101.53
248,102.83
249,103.5
250,103.25
251,104.94
252,104.26
253,102.82
254,101.86
255,102.1
256,102.8
257,104.34
258,102.97
259,103.03
260,104.43
261,103.27
262,103.96
263,103.11
264,101.53
