Idx,price
0,171.94
1,175.8
2,132.57
3,124.3
4,126.08
5,121.41
6,120.26
7,122.94
8,119.02
9,115.29
10,114.12
11,115.46
12,110.54
13,105.2
14,103.65
15,103.17
16,100.72
17,105.02
18,110.94
19,111.93
20,106.51
21,106.61
22,101.34
23,99.91
24,93.61
25,94.9
26,100.22
27,98.55
28,96.57
29,96.87
30,100.46
31,107.92
32,112.16
33,118.77
34,114.65
35,117.87
36,114.65
37,116.05
38,113.76
39,116.17
40,121.18
41,118.49
42,115.65
43,116.67
44,121.86
45,117.65
46,112.49
47,113.04
48,111.21
49,109.81
50,108.25
51,105.17
52,102.31
53,100.58
54,103.66
55,94.9
56,89.4
57,86.03
58,87.78
59,83.7
60,82.61
61,92.09
62,87.93
63,91.53
64,90.71
65,92.72
66,85.43
67,81.68
68,79.53
69,78.75
70,75.17
71,74.29
72,78.83
73,77.65
74,79.75
75,77.18
76,81.28
77,80.54
78,81.18
79,78.65
80,80.12
81,80.42
82,85.21
83,85.21
84,82.48
85,88.32
86,86.53
87,86.81
88,88.59
89,87.51
90,84.11
91,79.3
92,73.72
93,72.46
94,75.83
95,71.23
96,72.9
97,72.37
98,72.97
99,73.81
100,77.68
101,75.94
102,71.82
103,71.47
104,69.84
105,71.4
106,74.4
107,73.24
108,75.04
109,73.43
110,70.47
111,71.43
112,71.36
113,69.55
114,73.91
115,74.13
116,77.74
117,80.24
118,82.75
119,81.05
120,81.65
121,77.04
122,86.42
123,85.86
124,86.53
125,88.565
126,89.63
127,97.92
128,96.98
129,95.32
130,96.26
131,94.48
132,98.91
133,99.11
134,101.1
135,101.51
136,102.08
137,99.42
138,99.86
139,96.56
140,93.58
141,93.2
142,93.76
143,96.72
144,92.7
145,92.66
146,91.8
147,93.44
148,92.66
149,91.13
150,91.615
151,94.97
152,96.17
153,96.23
154,97.65
155,95.01
156,97.66
157,96.4
158,94.0
159,95.03
160,91.63
161,91.18
162,87.66
163,86.97
164,84.26
165,85.75
166,91.12
167,88.7
168,86.07
169,87.18
170,92.79
171,93.83
172,94.42
173,90.17
174,84.52
175,83.09
176,83.81
177,84.04
178,80.47
179,84.66
180,85.29
181,84.47
182,84.78
183,83.94
184,83.32
185,89.24
186,88.55
187,87.35
188,86.25
189,83.58
190,83.11
191,79.45
192,76.55
193,75.18
194,77.66
195,81.13
196,78.68
197,86.8
198,91.03
199,89.51
200,89.86
201,87.04
202,85.64
203,84.92
204,80.63
205,79.91
206,80.75
207,80.08
208,79.93
209,77.64
210,78.41
211,78.53
212,74.66
213,73.62
214,72.23
215,74.42
216,74.22
217,73.57
218,73.8
219,73.7
220,72.63
221,69.77
222,69.26
223,68.95
224,68.76
225,69.21
226,68.57
227,69.03
228,68.33
229,67.55
230,70.56
231,71.22
232,74.58
233,77.69
234,76.27
235,76.48
236,77.08
237,77.92
238,78.54
239,79.78
240,79.48
241,80.18
242,77.31
243,76.75
244,79.09
245,79.5
246,79.58
247,79.1
248,80.81
249,81.83
250,79.64
251,81.49
252,82.91
253,86.96
254,85.52
255,82.33
256,83.23
257,79.72
258,78.42
259,80.8
260,79.45
261,77.26
262,77.91
263,76.73
264,74.66
