Idx,price
0,27.996
1,27.879
2,28.182
3,27.86
4,27.635
5,27.508
6,27.39
7,27.957
8,27.537
9,27.273
10,27.058
11,27.293
12,27.547
13,27.43
14,27.273
15,27.126
16,26.814
17,26.97
18,27.645
19,27.302
20,27.038
21,27.41
22,27.566
23,27.596
24,27.029
25,26.999
26,27.518
27,27.557
28,27.322
29,27.205
30,27.332
31,27.732
32,27.977
33,28.163
34,27.938
35,28.163
36,27.781
37,27.962
38,28.286
39,28.512
40,29.297
41,29.071
42,28.688
43,29.17
44,28.963
45,28.806
46,29.003
47,28.806
48,28.777
49,28.502
50,28.472
51,28.728
52,28.62
53,28.492
54,28.954
55,29.278
56,29.062
57,28.629
58,28.58
59,28.148
60,28.04
61,28.394
62,27.205
63,26.704
64,26.881
65,27.176
66,26.488
67,26.066
68,25.035
69,24.73
70,24.671
71,24.838
72,25.467
73,25.408
74,25.722
75,25.045
76,24.996
77,25.045
78,25.261
79,25.398
80,25.555
81,25.673
82,26.194
83,25.997
84,25.801
85,26.115
86,25.732
87,25.585
88,25.909
89,25.32
90,24.783
91,24.328
92,23.223
93,23.084
94,23.578
95,23.163
96,23.242
97,23.42
98,23.578
99,23.884
100,24.388
101,24.388
102,24.23
103,24.032
104,23.874
105,24.2
106,23.993
107,24.042
108,24.131
109,24.062
110,23.904
111,23.854
112,23.776
113,23.479
114,23.904
115,23.805
116,24.388
117,24.398
118,24.546
119,24.743
120,24.802
121,24.773
122,24.99
123,25.652
124,25.888
125,25.681
126,25.336
127,25.395
128,25.414
129,25.326
130,25.503
131,25.622
132,26.106
133,26.096
134,26.441
135,26.441
136,26.392
137,26.234
138,26.007
139,25.681
140,25.197
141,24.921
142,24.98
143,25.365
144,24.773
145,24.585
146,24.348
147,24.19
148,24.101
149,23.874
150,24.062
151,24.407
152,24.378
153,24.733
154,24.96
155,24.082
156,23.835
157,23.47
158,23.529
159,23.519
160,22.966
161,22.601
162,22.374
163,21.969
164,21.36
165,20.97
166,21.41
167,20.93
168,21.27
169,21.63
170,22.02
171,21.59
172,21.13
173,20.71
174,20.54
175,20.7
176,20.52
177,20.83
178,20.39
179,21.07
180,21.21
181,20.69
182,20.73
183,20.91
184,20.92
185,21.71
186,21.78
187,21.85
188,22.23
189,22.11
190,22.15
191,21.63
192,21.52
193,21.93
194,21.93
195,22.06
196,21.84
197,23.26
198,23.35
199,22.87
200,23.03
201,22.85
202,22.73
203,23.01
204,23.05
205,23.21
206,23.2
207,23.35
208,22.84
209,23.19
210,23.6
211,23.56
212,23.54
213,23.16
214,22.98
215,23.08
216,23.22
217,23.19
218,23.29
219,23.63
220,23.59
221,23.26
222,22.71
223,22.49
224,22.38
225,22.64
226,22.52
227,22.72
228,22.7
229,22.38
230,22.85
231,22.71
232,22.66
233,23.1
234,22.6
235,23.06
236,23.1
237,23.08
238,23.8
239,24.14
240,23.99
241,24.14
242,23.85
243,23.78
244,24.03
245,24.24
246,24.32
247,24.31
248,24.51
249,24.82
250,24.53
251,24.86
252,25.05
253,25.55
254,25.09
255,24.93
256,24.86
257,24.81
258,24.52
259,24.54
260,24.76
261,24.58
262,24.56
263,24.43
264,24.39
