Idx,price
0,30.371
1,30.548
2,30.971
3,30.243
4,29.977
5,30.016
6,29.938
7,30.965
8,30.55
9,30.353
10,30.461
11,30.916
12,30.985
13,30.807
14,30.748
15,30.609
16,29.938
17,31.212
18,31.735
19,32.229
20,32.753
21,33.661
22,33.069
23,33.592
24,33.543
25,32.17
26,32.318
27,32.2
28,31.804
29,32.95
30,33.019
31,33.345
32,33.829
33,33.78
34,33.414
35,33.296
36,33.01
37,33.128
38,33.395
39,33.997
40,34.718
41,35.005
42,34.62
43,34.382
44,34.659
45,34.422
46,34.56
47,35.104
48,34.955
49,35.123
50,34.995
51,35.044
52,34.471
53,33.869
54,34.165
55,34.165
56,34.086
57,33.168
58,32.99
59,32.318
60,33.098
61,34.007
62,33.128
63,32.792
64,32.308
65,33.652
66,33.01
67,33.612
68,33.295
69,32.572
70,32.889
71,32.919
72,33.731
73,34.484
74,35.058
75,34.078
76,34.008
77,34.949
78,34.88
79,34.87
80,34.989
81,35.91
82,36.267
83,35.128
84,34.662
85,34.464
86,34.593
87,34.712
88,35.167
89,34.514
90,33.84
91,33.622
92,32.671
93,32.473
94,32.463
95,31.72
96,31.482
97,32.146
98,32.74
99,33.83
100,34.781
101,34.949
102,34.187
103,34.642
104,34.593
105,34.672
106,34.652
107,35.554
108,36.247
109,36.366
110,36.604
111,35.564
112,34.999
113,34.83
114,35.266
115,34.85
116,36.098
117,36.098
118,36.217
119,36.128
120,36.148
121,35.881
122,35.029
123,38.209
124,38.209
125,38.734
126,38.169
127,37.902
128,37.386
129,37.248
130,37.426
131,36.79
132,37.078
133,36.403
134,36.721
135,36.651
136,37.237
137,36.79
138,36.939
139,36.294
140,36.155
141,35.569
142,35.35
143,35.43
144,34.248
145,33.81
146,33.622
147,33.532
148,33.93
149,33.512
150,35.539
151,35.718
152,35.986
153,35.876
154,36.016
155,35.688
156,36.085
157,35.559
158,35.33
159,35.986
160,35.519
161,35.261
162,34.665
163,34.546
164,34.396
165,34.108
166,34.665
167,34.903
168,34.446
169,35.142
170,36.85
171,36.433
172,36.88
173,35.916
174,36.204
175,36.115
176,35.956
177,35.817
178,34.784
179,35.896
180,36.423
181,36.631
182,35.747
183,36.184
184,36.035
185,35.698
186,39.283
187,40.744
188,41.588
189,41.796
190,41.916
191,41.588
192,42.005
193,41.628
194,41.468
195,41.717
196,41.398
197,41.866
198,41.438
199,41.727
200,41.318
201,41.876
202,41.687
203,42.305
204,41.966
205,39.395
206,39.575
207,39.844
208,39.634
209,39.684
210,40.292
211,40.242
212,40.332
213,39.455
214,39.067
215,39.336
216,39.096
217,38.369
218,38.2
219,38.16
220,37.99
221,37.054
222,36.626
223,36.805
224,36.984
225,37.253
226,36.835
227,36.984
228,36.885
229,36.406
230,36.526
231,36.406
232,36.416
233,36.805
234,36.177
235,36.396
236,36.396
237,36.366
238,37.582
239,37.413
240,37.642
241,37.094
242,36.546
243,35.699
244,35.978
245,36.018
246,36.187
247,36.207
248,36.008
249,35.888
250,35.55
251,36.267
252,36.207
253,35.978
254,35.55
255,35.53
256,35.599
257,35.41
258,35.41
259,35.94
260,35.95
261,35.64
262,35.91
263,36.18
264,36.3
