Idx,price
0,20.8
1,20.94
2,20.93
3,20.71
4,20.79
5,21.27
6,21.45
7,21.53
8,21.42
9,21.83
10,22.05
11,21.61
12,21.87
13,22.04
14,22.12
15,22.31
16,22.73
17,22.31
18,22.4
19,22.62
20,23.54
21,23.37
22,23.29
23,23.64
24,23.7
25,24.45
26,23.8
27,24.01
28,23.87
29,23.16
30,23.0
31,23.11
32,23.33
33,23.02
34,23.28
35,22.88
36,23.24
37,23.61
38,23.48
39,22.93
40,22.91
41,22.94
42,22.88
43,22.74
44,22.63
45,22.36
46,22.57
47,22.7
48,22.82
49,23.15
50,23.47
51,23.75
52,23.64
53,23.87
54,23.24
55,23.28
56,22.79
57,22.31
58,21.83
59,21.65
60,21.49
61,21.42
62,21.04
63,20.87
64,20.83
65,21.28
66,20.78
67,20.66
68,20.03
69,19.55
70,19.87
71,19.12
72,19.42
73,19.93
74,19.92
75,19.73
76,20.27
77,20.07
78,20.1
79,20.39
80,20.34
81,20.31
82,20.36
83,19.84
84,20.13
85,20.59
86,20.23
87,20.37
88,20.52
89,20.35
90,19.97
91,20.19
92,19.5
93,19.37
94,19.96
95,20.24
96,19.98
97,19.98
98,19.76
99,19.37
100,19.51
101,19.49
102,19.19
103,19.14
104,18.64
105,18.31
106,17.73
107,17.69
108,17.75
109,17.79
110,17.58
111,17.44
112,17.69
113,17.0
114,17.19
115,17.22
116,17.29
117,17.19
118,17.4
119,17.14
120,16.98
121,17.16
122,17.6
123,18.43
124,18.7
125,18.79
126,18.41
127,18.49
128,18.64
129,18.33
130,19.03
131,18.93
132,18.95
133,18.67
134,19.17
135,18.68
136,18.57
137,18.25
138,18.04
139,17.55
140,17.5
141,17.62
142,17.63
143,17.73
144,17.36
145,17.29
146,16.96
147,16.58
148,16.38
149,16.57
150,16.54
151,17.0
152,17.03
153,17.32
154,18.17
155,17.83
156,18.0
157,17.63
158,17.99
159,17.99
160,17.73
161,18.06
162,18.09
163,17.36
164,16.92
165,16.9
166,17.45
167,17.37
168,17.5
169,19.1
170,19.36
171,18.99
172,19.04
173,18.5
174,18.09
175,17.68
176,17.59
177,17.39
178,16.81
179,17.12
180,17.23
181,17.01
182,17.17
183,17.76
184,17.68
185,17.86
186,17.98
187,17.98
188,17.74
189,17.62
190,18.05
191,17.73
192,17.94
193,19.26
194,19.15
195,19.7
196,19.36
197,19.97
198,19.95
199,20.24
200,19.88
201,19.74
202,19.29
203,19.25
204,19.2
205,19.43
206,19.81
207,19.72
208,19.26
209,19.56
210,20.43
211,20.98
212,21.29
213,20.44
214,20.44
215,20.92
216,21.21
217,21.56
218,21.46
219,21.83
220,21.99
221,21.24
222,21.37
223,21.12
224,22.23
225,22.07
226,21.69
227,21.85
228,22.11
229,21.6
230,21.97
231,22.02
232,22.05
233,21.89
234,21.39
235,21.92
236,21.74
237,21.73
238,21.55
239,21.88
240,22.33
241,22.01
242,21.57
243,21.96
244,22.02
245,21.58
246,21.76
247,21.97
248,21.99
249,21.68
250,21.66
251,21.83
252,22.08
253,21.57
254,20.57
255,20.48
256,20.38
257,20.48
258,20.18
259,20.24
260,20.2
261,20.12
262,19.89
263,19.84
264,20.01
