Idx,price
0,79.22
1,79.605
2,80.895
3,80.675
4,80.02
5,80.11
6,80.16
7,81.13
8,80.33
9,79.42
10,77.88
11,78.81
12,78.225
13,78.0
14,77.345
15,76.72
16,77.13
17,76.7
18,75.22
19,77.9
20,77.93
21,77.3
22,78.55
23,78.33
24,78.035
25,77.81
26,76.16
27,77.045
28,76.25
29,77.14
30,76.57
31,77.41
32,78.36
33,79.23
34,79.4
35,79.75
36,80.36
37,79.71
38,79.9
39,80.58
40,81.11
41,82.21
42,82.5
43,82.48
44,81.75
45,82.41
46,82.94
47,82.05
48,82.26
49,83.07
50,82.39
51,82.43
52,81.82
53,81.89
54,81.98
55,82.86
56,83.11
57,80.72
58,78.94
59,79.25
60,79.13
61,79.49
62,79.06
63,78.07
64,77.24
65,77.325
66,76.56
67,75.17
68,74.42
69,75.27
70,73.66
71,75.16
72,75.0
73,75.97
74,74.97
75,73.69
76,73.39
77,75.24
78,74.68
79,75.78
80,76.74
81,77.6
82,78.66
83,77.34
84,76.7
85,77.4
86,76.96
87,77.4
88,76.245
89,73.54
90,71.575
91,70.83
92,71.02
93,69.64
94,69.9
95,70.43
96,71.33
97,72.1
98,72.3
99,73.99
100,74.87
101,74.02
102,73.4
103,73.12
104,73.335
105,73.99
106,72.76
107,73.98
108,74.77
109,75.005
110,74.535
111,74.54
112,73.53
113,72.58
114,74.26
115,74.24
116,74.59
117,75.02
118,74.76
119,75.25
120,75.125
121,74.63
122,75.3
123,76.54
124,77.065
125,77.64
126,77.32
127,77.53
128,77.85
129,77.43
130,78.46
131,78.15
132,79.01
133,79.31
134,79.26
135,79.9
136,80.485
137,80.1
138,80.11
139,79.6
140,78.55
141,77.71
142,77.98
143,78.0
144,77.435
145,75.59
146,75.24
147,74.51
148,75.82
149,74.29
150,74.58
151,74.89
152,75.96
153,76.56
154,77.44
155,75.58
156,74.81
157,74.06
158,73.27
159,72.96
160,73.53
161,71.74
162,71.02
163,70.58
164,70.41
165,70.64
166,69.92
167,70.08
168,70.34
169,72.15
170,71.56
171,71.58
172,69.84
173,69.19
174,69.16
175,68.98
176,69.7
177,69.29
178,70.29
179,70.67
180,70.65
181,70.64
182,70.52
183,71.7
184,72.68
185,73.76
186,73.28
187,74.19
188,74.4
189,74.13
190,73.95
191,72.0
192,71.53
193,72.54
194,73.91
195,73.34
196,74.79
197,74.52
198,75.17
199,75.34
200,75.0
201,74.34
202,75.26
203,75.39
204,75.92
205,76.66
206,76.89
207,76.87
208,76.46
209,75.58
210,75.87
211,77.82
212,77.5
213,77.1
214,76.34
215,76.14
216,76.63
217,76.67
218,76.45
219,78.04
220,78.07
221,75.74
222,74.65
223,74.47
224,74.24
225,75.53
226,74.48
227,74.98
228,74.84
229,75.42
230,75.08
231,74.69
232,76.07
233,75.165
234,76.53
235,77.38
236,76.31
237,76.72
238,76.95
239,77.06
240,77.48
241,77.36
242,76.39
243,75.28
244,75.55
245,76.67
246,76.58
247,76.08
248,76.62
249,76.79
250,76.73
251,76.65
252,77.08
253,77.79
254,77.21
255,76.71
256,76.35
257,76.42
258,76.44
259,75.94
260,76.46
261,75.82
262,76.0
263,75.93
264,75.54
