Idx,price
0,224.033
1,230.165
2,233.196
3,229.352
4,226.232
5,225.014
6,225.786
7,228.689
8,223.822
9,222.929
10,223.574
11,226.035
12,227.027
13,222.85
14,220.945
15,219.586
16,214.258
17,215.597
18,217.552
19,214.426
20,207.332
21,206.846
22,205.606
23,198.72
24,189.206
25,190.208
26,198.195
27,196.419
28,195.168
29,198.76
30,204.525
31,210.21
32,211.777
33,217.393
34,215.339
35,216.758
36,212.998
37,215.607
38,216.718
39,219.04
40,226.332
41,222.195
42,220.032
43,224.586
44,225.955
45,224.318
46,217.294
47,214.456
48,215.28
49,213.067
50,209.743
51,211.599
52,211.122
53,211.5
54,214.01
55,216.083
56,214.754
57,206.539
58,208.305
59,199.524
60,212.432
61,218.931
62,211.46
63,209.872
64,206.926
65,212.839
66,203.632
67,201.231
68,191.488
69,192.063
70,195.178
71,192.818
72,198.046
73,196.635
74,202.788
75,198.802
76,196.197
77,197.848
78,206.327
79,201.426
80,202.629
81,207.311
82,211.615
83,210.909
84,208.683
85,213.772
86,211.387
87,211.675
88,213.226
89,212.232
90,204.885
91,198.325
92,191.118
93,192.37
94,194.995
95,187.927
96,188.881
97,193.235
98,192.668
99,195.472
100,204.289
101,202.351
102,196.943
103,198.315
104,195.72
105,197.997
106,199.348
107,199.925
108,201.595
109,202.36
110,203.842
111,203.603
112,202.937
113,204.687
114,208.792
115,205.979
116,212.391
117,212.102
118,214.906
119,212.43
120,212.997
121,211.228
122,209.22
123,210.094
124,210.85
125,210.104
126,205.035
127,207.241
128,212.202
129,214.588
130,212.053
131,209.011
132,210.84
133,210.198
134,210.446
135,215.515
136,216.232
137,213.623
138,214.35
139,211.93
140,207.738
141,205.935
142,205.806
143,208.943
144,202.042
145,201.484
146,200.538
147,197.879
148,199.293
149,196.933
150,197.81
151,199.582
152,199.871
153,204.342
154,205.766
155,198.835
156,198.576
157,194.553
158,192.492
159,192.323
160,191.267
161,186.238
162,185.013
163,183.191
164,179.835
165,177.126
166,178.431
167,179.307
168,176.907
169,180.891
170,184.874
171,186.885
172,184.814
173,183.062
174,181.418
175,178.391
176,177.495
177,183.888
178,181.856
179,184.476
180,186.388
181,185.631
182,186.437
183,189.574
184,189.913
185,193.567
186,202.48
187,203.436
188,208.465
189,206.294
190,206.065
191,200.11
192,193.936
193,196.156
194,199.264
195,200.936
196,193.551
197,205.168
198,204.599
199,206.456
200,209.58
201,209.729
202,210.578
203,210.388
204,205.917
205,209.919
206,211.316
207,213.372
208,210.847
209,208.651
210,216.576
211,216.576
212,217.234
213,213.262
214,208.671
215,207.404
216,208.691
217,208.292
218,214.17
219,212.624
220,212.903
221,207.504
222,206.486
223,204.42
224,204.959
225,206.406
226,204.659
227,205.428
228,205.887
229,204.589
230,207.653
231,207.354
232,206.985
233,212.194
234,210.697
235,217.324
236,218.173
237,220.658
238,221.666
239,223.183
240,222.624
241,222.564
242,219.031
243,219.979
244,223.872
245,223.742
246,223.452
247,224.46
248,224.271
249,230.988
250,228.652
251,229.76
252,230.449
253,229.111
254,229.68
255,228.992
256,230.868
257,229.75
258,229.35
259,227.2
260,228.88
261,229.39
262,228.92
263,225.83
264,223.56
