Idx,price
0,21.41
1,19.84
2,19.42
3,21.78
4,21.0
5,20.42
6,19.5
7,18.71
8,20.46
9,23.24
10,23.31
11,21.39
12,20.53
13,22.96
14,23.45
15,23.36
16,24.7
17,23.925
18,22.95
19,24.0
20,26.67
21,24.96
22,25.11
23,26.2
24,28.49
25,28.15
26,27.03
27,25.83
28,26.34
29,28.81
30,28.7
31,25.95
32,26.15
33,25.0
34,26.01
35,25.445
36,25.49
37,25.2
38,25.2
39,25.73
40,24.85
41,25.0
42,25.7
43,25.03
44,24.43
45,24.81
46,24.38
47,24.05
48,24.67
49,26.1
50,25.74
51,24.59
52,24.99
53,25.31
54,24.73
55,24.39
56,24.86
57,26.15
58,24.8
59,26.35
60,27.2
61,26.04
62,27.71
63,27.5
64,27.05
65,24.85
66,27.0
67,27.07
68,28.01
69,27.055
70,27.28
71,26.93
72,25.97
73,24.69
74,24.79
75,26.09
76,25.355
77,25.05
78,24.06
79,24.03
80,23.65
81,23.26
82,22.46
83,22.56
84,22.26
85,21.7
86,21.89
87,22.03
88,21.67
89,21.8
90,23.13
91,23.33
92,25.84
93,25.33
94,23.97
95,25.4
96,24.66
97,24.5
98,23.84
99,23.4
100,23.12
101,22.6
102,22.78
103,22.84
104,23.08
105,22.54
106,22.55
107,22.16
108,22.33
109,21.99
110,22.21
111,22.48
112,22.41
113,22.32
114,21.54
115,21.91
116,21.85
117,21.57
118,21.2
119,21.4
120,21.15
121,21.67
122,21.31
123,20.82
124,20.94
125,21.8
126,21.65
127,21.95
128,21.32
129,21.5
130,22.07
131,21.94
132,21.44
133,21.69
134,22.05
135,21.49
136,21.29
137,21.1
138,21.14
139,21.16
140,21.22
141,20.14
142,19.8
143,19.7
144,20.15
145,19.71
146,19.48
147,19.24
148,19.44
149,19.09
150,19.25
151,18.55
152,18.22
153,18.47
154,18.15
155,19.01
156,19.09
157,19.15
158,19.81
159,17.99
160,18.41
161,18.86
162,18.91
163,19.82
164,20.56
165,20.95
166,20.07
167,20.62
168,21.21
169,20.15
170,19.39
171,19.52
172,20.09
173,20.91
174,21.43
175,21.76
176,21.54
177,20.98
178,21.45
179,20.84
180,20.44
181,20.6
182,20.33
183,20.25
184,19.94
185,19.17
186,18.73
187,18.36
188,17.93
189,17.66
190,17.49
191,17.94
192,17.57
193,17.35
194,17.16
195,17.66
196,18.21
197,17.21
198,16.98
199,16.98
200,17.2
201,16.74
202,16.58
203,16.41
204,15.97
205,15.42
206,15.08
207,15.16
208,15.72
209,15.49
210,14.92
211,14.64
212,14.38
213,14.63
214,15.07
215,15.29
216,14.98
217,15.3
218,15.21
219,14.58
220,14.08
221,14.96
222,15.01
223,14.65
224,14.54
225,13.99
226,14.75
227,14.35
228,14.34
229,14.31
230,14.13
231,14.12
232,13.99
233,13.61
234,13.72
235,13.4
236,13.47
237,12.91
238,12.97
239,12.33
240,12.02
241,12.12
242,12.55
243,12.62
244,12.17
245,12.08
246,11.61
247,11.63
248,11.45
249,11.3
250,11.58
251,11.32
252,10.98
253,11.21
254,11.32
255,11.6
256,11.24
257,11.66
258,12.03
259,12.17
260,11.69
261,11.3
262,11.07
263,11.68
264,11.67
