Idx,price
0,99.025
1,100.391
2,101.089
3,99.477
4,98.406
5,98.484
6,99.467
7,100.834
8,99.182
9,97.668
10,97.305
11,98.769
12,99.29
13,97.472
14,96.666
15,95.732
16,93.972
17,95.172
18,97.442
19,98.189
20,96.725
21,98.789
22,98.897
23,98.681
24,96.037
25,95.447
26,97.177
27,97.049
28,96.272
29,96.597
30,98.13
31,99.428
32,100.706
33,101.089
34,101.316
35,101.869
36,100.892
37,101.662
38,102.293
39,102.322
40,103.269
41,103.151
42,101.563
43,100.774
44,100.646
45,99.216
46,98.446
47,98.782
48,98.23
49,97.914
50,97.756
51,98.673
52,98.565
53,98.22
54,100.005
55,100.547
56,99.522
57,97.076
58,97.076
59,94.955
60,95.31
61,96.385
62,93.831
63,94.028
64,94.649
65,97.391
66,94.847
67,94.206
68,91.927
69,91.326
70,90.497
71,90.665
72,91.819
73,91.691
74,93.772
75,90.28
76,89.472
77,88.505
78,89.955
79,89.906
80,90.428
81,92.263
82,94.156
83,93.397
84,92.825
85,94.6
86,94.235
87,94.63
88,95.902
89,94.166
90,92.312
91,89.59
92,86.898
93,86.681
94,87.519
95,84.6
96,84.383
97,85.917
98,85.442
99,85.006
100,87.977
101,87.769
102,86.749
103,86.244
104,86.511
105,87.264
106,85.957
107,86.452
108,87.472
109,87.076
110,86.492
111,86.224
112,85.174
113,84.689
114,86.016
115,85.501
116,88.552
117,89.235
118,89.879
119,89.592
120,90.018
121,89.532
122,90.919
123,92.821
124,94.733
125,94.832
126,93.831
127,94.713
128,95.06
129,95.208
130,95.178
131,94.832
132,96.912
133,97.427
134,98.893
135,99.13
136,99.576
137,98.784
138,99.18
139,97.902
140,96.04
141,96.218
142,96.535
143,98.011
144,94.614
145,94.188
146,92.831
147,92.048
148,92.177
149,91.286
150,91.434
151,92.9
152,93.178
153,94.386
154,94.95
155,91.375
156,91.196
157,90.246
158,88.364
159,89.563
160,88.448
161,87.274
162,85.96
163,84.348
164,83.462
165,83.183
166,85.015
167,83.542
168,82.447
169,84.935
170,87.891
171,87.413
172,86.408
173,84.756
174,85.054
175,85.034
176,84.368
177,86.229
178,84.338
179,86.179
180,88.259
181,87.632
182,85.91
183,88.269
184,89.444
185,90.648
186,90.966
187,92.031
188,94.171
189,93.902
190,93.813
191,92.16
192,93.126
193,94.619
194,95.634
195,96.47
196,95.126
197,99.117
198,99.058
199,98.45
200,99.127
201,98.411
202,98.242
203,98.968
204,99.287
205,100.053
206,100.431
207,100.819
208,98.988
209,99.595
210,101.237
211,101.267
212,101.844
213,100.142
214,98.958
215,98.829
216,99.416
217,98.6
218,100.292
219,100.67
220,100.481
221,98.052
222,97.634
223,97.12
224,97.24
225,99.07
226,97.81
227,98.39
228,98.69
229,97.4
230,98.6
231,98.21
232,98.42
233,99.29
234,98.22
235,100.91
236,100.46
237,101.01
238,101.98
239,102.58
240,102.46
241,101.59
242,99.68
243,97.63
244,98.99
245,100.07
246,100.73
247,100.17
248,100.72
249,101.14
250,100.15
251,101.85
252,102.59
253,103.39
254,102.85
255,102.6
256,102.92
257,102.34
258,101.42
259,102.14
260,103.07
261,102.79
262,103.43
263,102.36
264,103.03
