Idx,price
0,67.24
1,66.347
2,67.328
3,67.027
4,66.493
5,66.396
6,66.444
7,66.735
8,65.046
9,65.085
10,64.531
11,64.23
12,64.376
13,64.415
14,64.298
15,64.23
16,63.143
17,63.648
18,65.619
19,65.959
20,65.386
21,66.182
22,67.347
23,68.833
24,69.726
25,68.648
26,68.163
27,68.619
28,68.386
29,68.308
30,69.182
31,69.056
32,69.347
33,68.755
34,69.214
35,69.312
36,69.409
37,70.123
38,71.14
39,71.599
40,72.264
41,72.86
42,72.782
43,73.798
44,73.231
45,73.691
46,75.157
47,74.971
48,75.225
49,74.199
50,74.482
51,74.336
52,74.375
53,73.974
54,74.453
55,75.059
56,73.818
57,72.576
58,72.078
59,71.354
60,71.012
61,71.804
62,69.654
63,68.94
64,69.204
65,70.748
66,70.025
67,70.582
68,70.054
69,69.204
70,69.703
71,68.999
72,69.82
73,70.035
74,70.758
75,70.074
76,69.928
77,70.123
78,70.964
79,72.381
80,72.332
81,72.537
82,73.671
83,72.655
84,72.537
85,73.026
86,72.674
87,72.997
88,73.436
89,72.0
90,70.27
91,69.732
92,66.526
93,64.845
94,65.265
95,64.004
96,63.408
97,64.61
98,65.289
99,66.826
100,67.989
101,68.54
102,68.284
103,68.334
104,69.092
105,70.787
106,68.373
107,69.082
108,69.013
109,68.787
110,69.22
111,68.885
112,68.6
113,68.6
114,68.728
115,67.772
116,68.206
117,67.299
118,67.476
119,68.403
120,69.26
121,69.674
122,69.733
123,72.235
124,72.856
125,72.934
126,72.787
127,73.24
128,73.398
129,73.132
130,73.24
131,74.058
132,74.383
133,74.373
134,75.585
135,76.215
136,76.432
137,76.304
138,76.59
139,76.55
140,75.506
141,75.053
142,75.289
143,75.752
144,74.59
145,74.816
146,73.723
147,73.24
148,74.294
149,73.496
150,73.683
151,75.989
152,75.93
153,76.235
154,76.964
155,74.915
156,75.526
157,73.644
158,73.368
159,74.351
160,73.27
161,72.268
162,72.01
163,71.177
164,69.461
165,68.291
166,69.025
167,66.258
168,64.978
169,66.882
170,68.301
171,66.783
172,64.581
173,63.242
174,63.351
175,63.123
176,61.02
177,62.548
178,61.645
179,62.935
180,64.085
181,63.252
182,61.655
183,62.796
184,63.322
185,64.591
186,64.561
187,65.077
188,66.863
189,66.238
190,66.496
191,65.851
192,66.139
193,66.545
194,65.276
195,65.732
196,65.216
197,68.291
198,67.527
199,66.724
200,67.458
201,68.063
202,66.873
203,68.291
204,68.598
205,69.184
206,69.957
207,70.364
208,69.64
209,69.124
210,70.85
211,70.79
212,70.453
213,70.056
214,70.493
215,70.166
216,70.622
217,70.255
218,71.862
219,72.08
220,71.991
221,71.118
222,69.908
223,69.63
224,69.65
225,70.62
226,70.19
227,70.91
228,71.35
229,70.67
230,71.18
231,70.5
232,70.5
233,71.14
234,69.6
235,71.0
236,71.48
237,71.5
238,72.08
239,71.59
240,71.33
241,71.23
242,69.52
243,68.82
244,69.23
245,69.25
246,69.6
247,68.66
248,68.89
249,68.89
250,68.58
251,69.09
252,69.21
253,69.36
254,67.91
255,68.49
256,68.46
257,67.31
258,66.39
259,67.71
260,68.12
261,67.83
262,68.27
263,67.75
264,68.48
